# Pank,Pftd,Par,GRF
2.548002985974367335e-02,2.232832193688841932e-11,2.548002988207199657e-02,1.671853188338588213e-10
2.555016340831052502e-02,1.560134045392147880e-11,2.555016342391186468e-02,1.203058912251710050e-10
2.096921917738590879e-02,9.762177084959221696e-12,2.096921918714808944e-02,7.821596729999487944e-11
1.495297799382087553e-02,5.301957935813157576e-12,1.495297799912283405e-02,4.441677780833327077e-11
9.420970661600809593e-03,2.248113446346574438e-12,9.420970663848922746e-03,1.976579270026675068e-11
5.177267664037638398e-03,3.785852552648698890e-13,5.177267664416224449e-03,3.457305159215764976e-12
2.326277233507068574e-03,-6.010988272000188746e-13,2.326277232905969543e-03,-6.017316547595520941e-12
5.834070215097743014e-04,-9.843317978951069947e-13,5.834070205254425446e-04,-1.045581346238772481e-11
-4.682417050361510342e-04,-1.011100445705885983e-12,-4.682417060472514716e-04,-1.151506701656658268e-11
-1.130248165240234836e-03,-8.557834497039704028e-13,-1.130248166096018379e-03,-1.053384257760627380e-11
-1.438645083554462726e-03,-6.414124866697442308e-13,-1.438645084195875430e-03,-8.607577295995819411e-12
-1.191764595305567316e-03,-4.298220800999346759e-13,-1.191764595735389292e-03,-6.352064591370117289e-12
-1.861190807903913562e-04,-2.595312327630826334e-13,-1.861190810499225765e-04,-4.276974370097055952e-12
1.510593917649658263e-03,-1.361963690424327462e-13,1.510593917513462087e-03,-2.548110678069423421e-12
3.469109138684580047e-03,-5.631410808120204796e-14,3.469109138628265719e-03,-1.228285173462896323e-12
5.014572990503935075e-03,-1.441000317396028338e-14,5.014572990489524727e-03,-3.830511451203854583e-13
5.511073638097901788e-03,6.047911585061764463e-15,5.511073638103949034e-03,2.065498865631637827e-13
4.656672561360899326e-03,8.502841823537725221e-15,4.656672561369402941e-03,4.317096515473582489e-13
2.548192840781746214e-03,5.115138214381519692e-15,2.548192840786861479e-03,5.501790614965774592e-13
-4.093155528767763096e-04,-6.717353816642930717e-16,-4.093155528774479728e-04,5.357758915470076162e-13
-3.547498636558205076e-03,-4.742921999143748089e-15,-3.547498636562947810e-03,3.999434692928740754e-13
-6.019433349962522752e-03,-8.602669576317559327e-15,-6.019433349971125245e-03,3.889287888298490888e-13
-7.019555121900483002e-03,-5.355222643992007530e-15,-7.019555121905838961e-03,1.721021133812761258e-13
-6.061279324891286763e-03,-7.475206124797681775e-15,-6.061279324898762554e-03,1.864548594520147926e-13
-3.210044755255251573e-03,-3.174643314594646235e-15,-3.210044755258426117e-03,6.722722048684448830e-14
8.527383661150440093e-04,7.041176587087973202e-16,8.527383661157481986e-04,-1.292139767419956031e-14
4.962674138224892721e-03,-5.324478551999759592e-15,4.962674138219568855e-03,8.818403832315743921e-14
7.651107755476971653e-03,9.415090636391685137e-15,7.651107755486387732e-03,-1.434651455238775319e-13
7.442588015822888987e-03,-7.036853206275981098e-15,7.442588015815852949e-03,1.016798245565369089e-13
3.969891264760524834e-03,8.053988940563971590e-15,3.969891264768579155e-03,-1.116052323453493610e-13
-4.877933624218233296e-04,1.615491703987296496e-15,-4.877933624202078142e-04,-1.869104082760148178e-14
-2.341630161409171112e-03,-6.675665330460542437e-15,-2.341630161415846761e-03,8.859728166008881582e-14
-5.327418486332315996e-04,1.595983227025757810e-14,-5.327418486172717099e-04,-2.251187644391333441e-13
3.460607164605077491e-03,-1.785437685702603088e-14,3.460607164587223283e-03,2.716748950252891399e-13
8.653063301039296690e-03,1.647503971211194595e-14,8.653063301055771359e-03,-2.758134438845064963e-13
1.450759986818607114e-02,-8.741868410936957396e-15,1.450759986817732987e-02,1.657850884523012323e-13
1.943970977454068452e-02,-1.326191409450214537e-15,1.943970977453935572e-02,2.509315839650930586e-14
2.177097713629327913e-02,1.090581888152179748e-14,2.177097713630418707e-02,-2.683974578035331320e-13
2.119447573215089628e-02,-1.699786719098253331e-14,2.119447573213389599e-02,4.970052753775326415e-13
1.833928980770450218e-02,1.781153565124837071e-14,1.833928980772231432e-02,-6.214157966541909298e-13
1.384883402683273999e-02,-1.378014076290151775e-14,1.384883402681895762e-02,5.765468242358319172e-13
8.501788101008768764e-03,6.248051982268328383e-15,8.501788101015015503e-03,-3.156515022055885798e-13
3.523647067679723782e-03,2.202486653379861367e-15,3.523647067681926013e-03,-1.295292247367070694e-13
