# Pank,Pftd,Par,GRF
1.257753644098056700e-03,-4.588141234660865774e-21,1.257753644098056700e-03,1.169575548763622267e-18
1.089260780480612962e-03,-3.106859746272406767e-21,1.089260780480612962e-03,8.000811821561304842e-19
9.225223275407305962e-04,-1.905126551620421168e-21,9.225223275407305962e-04,4.883041839605571587e-19
8.085399071773853412e-04,-1.003296966525372711e-21,8.085399071773853412e-04,2.501836444141603671e-19
7.592519762457806791e-04,-3.590325860061576565e-22,7.592519762457806791e-04,8.481920944201284309e-20
7.393725049616050498e-04,7.948316546667717634e-23,7.393725049616050498e-04,-1.795049775027717001e-20
6.910177840955771368e-04,3.510480403206792948e-22,6.910177840955771368e-04,-7.258857502873879155e-20
5.975246614864422210e-04,4.819081468886819121e-22,5.975246614864422210e-04,-9.284448784090116593e-20
4.992074300677570072e-04,5.125685748834658456e-22,4.992074300677570072e-04,-9.178033764863602964e-20
4.238057320553774974e-04,4.796692087921850640e-22,4.238057320553774974e-04,-7.877557815150664376e-20
3.409397286905926851e-04,4.087312333564526996e-22,3.409397286905926851e-04,-6.092362751096836907e-20
2.075921572159871234e-04,3.178131826544331007e-22,2.075921572159871234e-04,-4.313834660973407125e-20
2.675101887429770904e-05,2.159021118765381126e-22,2.675101887429770904e-05,-2.707122597859784696e-20
-1.695083090364746508e-04,1.278255661769595886e-22,-1.695083090364746508e-04,-1.504281452140104836e-20
-3.714161121917091118e-04,5.357752549156862274e-23,-3.714161121917091118e-04,-5.959949914168880193e-21
-5.823942376630473041e-04,2.877810250874937270e-24,-5.823942376630473041e-04,-2.867965064891816169e-22
-7.793352242361035673e-04,-2.651342777057298517e-23,-7.793352242361035673e-04,2.656754463591046133e-21
-9.298186719522309523e-04,-4.874641233892640773e-23,-9.298186719522309523e-04,4.587442677481495134e-21
-1.034288222141589372e-03,-4.614745527920057851e-23,-1.034288222141589372e-03,4.050215368528440201e-21
-1.118633474886342660e-03,-5.267280923230020682e-23,-1.118633474886342660e-03,4.292081377325523601e-21
-1.200836536112602276e-03,-4.012987816670668048e-23,-1.200836536112602276e-03,3.014823509028517469e-21
-1.286505215574745191e-03,-3.097743883828454124e-23,-1.286505215574745191e-03,2.127535547822145499e-21
-1.387017617914339208e-03,-3.183268776783193473e-23,-1.387017617914339208e-03,2.001907794843887407e-21
-1.520130384004015614e-03,-1.780980290669834101e-24,-1.520130384004015614e-03,9.069691406059090151e-23
-1.692464073449176506e-03,-2.474310021323192019e-23,-1.692464073449176506e-03,1.261344653297295744e-21
-1.909993990718423336e-03,1.328508400595916319e-23,-1.909993990718423336e-03,-6.066177907242538683e-22
-2.206464371884100332e-03,-3.083368402797605051e-24,-2.206464371884100332e-03,1.231415043409097614e-22
-2.615198533561142753e-03,-7.223020742263327792e-24,-2.615198533561142753e-03,2.733618723570939591e-22
-3.102245515999714313e-03,4.151669293831614124e-23,-3.102245515999714313e-03,-1.414059713109956043e-21
-3.573097813679990478e-03,-4.971209154022442292e-23,-3.573097813679990478e-03,1.560267269648043678e-21
-3.958165445280277528e-03,7.033867358801118135e-23,-3.958165445280277528e-03,-2.044197126847791998e-21
-4.261992958585438494e-03,-4.737356626551575310e-23,-4.261992958585438494e-03,1.280953210154456228e-21
-4.539005611673033007e-03,1.500512572952088433e-23,-4.539005611673033007e-03,-3.750006020400676824e-22
-4.866187473046680069e-03,5.555098349274882677e-23,-4.866187473046680069e-03,-1.306178654293196436e-21
