# Pank,Pftd,Par,GRF
1.926531324991065624e-04,5.218618164153665889e-17,1.926531324991587397e-04,-2.868940980160094049e-15
3.739633163217922162e-04,3.683188432990375425e-17,3.739633163218290248e-04,-2.005236863189590642e-15
5.646076930689216539e-04,2.372760302191814903e-17,5.646076930689453979e-04,-1.258250093547047258e-15
6.765464648252682116e-04,1.332137367974191920e-17,6.765464648252815473e-04,-6.758631141858012105e-16
6.609604034202397468e-04,5.519294210461518448e-18,6.609604034202452762e-04,-2.629516671570638813e-16
5.173892503768800794e-04,-5.471713665174930876e-20,5.173892503768800794e-04,7.633898212231882433e-19
2.415243909285535670e-04,-3.799978297903240304e-18,2.415243909285497723e-04,1.467454793663481618e-16
-2.081286550496972614e-04,-6.011686031739539692e-18,-2.081286550497032516e-04,2.075171596987761861e-16
-8.890635762547353851e-04,-6.972145204402121670e-18,-8.890635762547424324e-04,2.136088490205709525e-16
-1.821024804594233550e-03,-6.909243262398091841e-18,-1.821024804594240489e-03,1.880138760871332709e-16
-2.928870981188907117e-03,-6.124166416259620301e-18,-2.928870981188913189e-03,1.487174513301874587e-16
-4.038540062555261503e-03,-4.918224909176901579e-18,-4.038540062555266708e-03,1.071509135593552912e-16
-4.949807930102730590e-03,-3.529662285472564383e-18,-4.949807930102734059e-03,6.933074992954501821e-17
-5.529629522023056173e-03,-2.234564387763013997e-18,-5.529629522023058776e-03,3.975739373238800119e-17
-5.766048689167608578e-03,-1.069809956952506562e-18,-5.766048689167609445e-03,1.732309068122005679e-17
-5.746064449878789983e-03,-2.140086485612653191e-19,-5.746064449878789983e-03,3.160700826850092605e-18
-5.569472046164084499e-03,3.865277805947135455e-19,-5.569472046164083631e-03,-5.272602407358056059e-18
-5.273466924430221699e-03,7.669044797281470835e-19,-5.273466924430220831e-03,-9.643440739857136546e-18
-4.831177124747162988e-03,8.376417378196859360e-19,-4.831177124747162120e-03,-9.728335532606163131e-18
-4.229712765412557175e-03,9.277039633583558657e-19,-4.229712765412556308e-03,-9.969795867228919083e-18
-3.548630982578477450e-03,7.218613142044181491e-19,-3.548630982578477016e-03,-7.172515361696719964e-18
-2.923209817145434181e-03,6.356703455788247492e-19,-2.923209817145433747e-03,-5.828019300394827745e-18
-2.418289124629015557e-03,4.843826826863269185e-19,-2.418289124629015123e-03,-4.091257638890879143e-18
-1.989863514409208507e-03,1.896049453440891191e-19,-1.989863514409208074e-03,-1.468765041695592490e-18
-1.597944278542297531e-03,3.215769965006645885e-19,-1.597944278542297097e-03,-2.281750834765696020e-18
-1.356019706841155676e-03,-1.477734711665675510e-19,-1.356019706841155893e-03,9.579267365248018173e-19
-1.672379305601329278e-03,1.362250977296533560e-19,-1.672379305601329278e-03,-8.090957845836396938e-19
-3.434589421298907697e-03,-1.171463435143400508e-19,-3.434589421298907697e-03,6.407530247374603363e-19
-8.118141280649167693e-03,-2.585406750929853718e-19,-8.118141280649167693e-03,1.286168354245722834e-18
-1.752605517887425440e-02,3.080530374218270909e-19,-1.752605517887425440e-02,-1.423393286460021956e-18
-3.299922302674173497e-02,-6.971431880051039566e-19,-3.299922302674173497e-02,3.049503929799702728e-18
-5.422528051907905128e-02,5.852245747213716471e-19,-5.422528051907905128e-02,-2.463251941963719056e-18
-7.816348653654955903e-02,-5.169240186460470001e-19,-7.816348653654955903e-02,2.151935767310865356e-18
-9.909905174720939902e-02,1.606438255935840950e-20,-9.909905174720939902e-02,-8.888529058278079116e-20
-1.106109770878586501e-01,4.737973856557642660e-19,-1.106109770878586501e-01,-2.054009776628866782e-18
-1.086144753911765098e-01,-9.423134256019498077e-19,-1.086144753911765098e-01,4.476440179942655373e-18
-9.315391030039929521e-02,1.108526889160941189e-18,-9.315391030039929521e-02,-5.978661387783432992e-18
-6.775489899188082143e-02,-9.224897710240358879e-19,-6.775489899188082143e-02,5.908272181295803099e-18
-3.784244024354637553e-02,4.768445132730999911e-19,-3.784244024354637553e-02,-3.851699287429945479e-18
-9.421558421919292922e-03,3.509584504478614307e-20,-9.421558421919292922e-03,-2.451529555593351296e-19
1.268331682638131758e-02,-3.673678512898179084e-19,1.268331682638131758e-02,5.426140809452912443e-18
2.637009815017644226e-02,4.138832818256900665e-19,2.637009815017644226e-02,-1.042888717839406227e-17
3.224014921103258990e-02,-2.119683320872261614e-19,3.224014921103258990e-02,1.333518150711967488e-17
3.253301478900814947e-02,-5.662686403825791495e-20,3.253301478900814947e-02,-1.262054458772822193e-17
2.986078089338907449e-02,1.673761156463825742e-19,2.986078089338907449e-02,7.333494211444761097e-18
2.627358352625044219e-02,5.262410139889038036e-20,2.627358352625044219e-02,2.073288573643823041e-18
2.296945924180015391e-02,-6.359415988890793237e-19,2.296945924180015391e-02,-1.367576874601357029e-17
2.039084800661646740e-02,1.420675622342942786e-18,2.039084800661646740e-02,2.416777923951744054e-17
1.845153711893336018e-02,-2.062224961559434612e-18,1.845153711893335671e-02,-2.961585061514405439e-17
1.685879749309009482e-02,2.120759870120672332e-18,1.685879749309009829e-02,2.660773194735428931e-17
1.539641551998106872e-02,-1.215747909296333886e-18,1.539641551998106872e-02,-1.356076037154689561e-17
