# InvDyn,Takahashi,Zelik,Frigo,GRF
3.789470364449121914e-02,1.377007965867333393e-02,1.377007965867333393e-02,1.377007965867333393e-02,3.119726914035240717e-01
3.890507076858739505e-02,1.184992721164476910e-02,1.184992721164476910e-02,1.184992721164476910e-02,2.887804018722237021e-01
3.923240214596255410e-02,1.098314841020276746e-02,1.098314841020276746e-02,1.098314841020277266e-02,2.975560308336307469e-01
4.110077352385468202e-02,1.104883784227319622e-02,1.104883784227319622e-02,1.104883784227319449e-02,3.408543263033001480e-01
4.412777509536672943e-02,1.154238345109585839e-02,1.154238345109585839e-02,1.154238345109585666e-02,4.110347642739627938e-01
4.584364794035068746e-02,1.167568274832231530e-02,1.167568274832231530e-02,1.167568274832231530e-02,4.888728436922275544e-01
4.279733995605772279e-02,1.050232573535976079e-02,1.050232573535976079e-02,1.050232573535976079e-02,5.416053448041734386e-01
3.219713140013172326e-02,7.105491367853713873e-03,7.105491367853713873e-03,7.105491367853717342e-03,5.210268160796106551e-01
1.387942805632651558e-02,8.547627698375877877e-04,8.547627698375877877e-04,8.547627698375889803e-04,3.623332138997424900e-01
-8.564922790751139034e-03,-8.259917529560440938e-03,-8.259917529560440938e-03,-8.259917529560440938e-03,-1.384856479287562003e-02
-2.934310866303446036e-02,-1.931495901497914253e-02,-1.931495901497914253e-02,-1.931495901497914600e-02,-6.952831266250174558e-01
-4.396329043929515790e-02,-3.023890896641134862e-02,-3.023890896641134862e-02,-3.023890896641135556e-02,-1.764280442516237057e+00
-5.084339932618945485e-02,-3.783225851452421545e-02,-3.783225851452421545e-02,-3.783225851452420851e-02,-3.274065158737105019e+00
-4.967863908420119823e-02,-3.817493409615332900e-02,-3.817493409615332900e-02,-3.817493409615332900e-02,-5.213417787924939262e+00
-3.952947908758198958e-02,-2.760172264515974028e-02,-2.760172264515974028e-02,-2.760172264515974375e-02,-7.457129086365935855e+00
-1.914543917377581339e-02,-4.413411518848273270e-03,-4.413411518848273270e-03,-4.413411518848277607e-03,-9.705149438024193387e+00
1.043630384273870962e-02,2.878765272439651884e-02,2.878765272439651884e-02,2.878765272439651884e-02,-1.141442179893070730e+01
4.233416333098886930e-02,6.269451865426098336e-02,6.269451865426098336e-02,6.269451865426098336e-02,-1.173425822079169123e+01
6.145275564917486444e-02,8.010326448487277429e-02,8.010326448487277429e-02,8.010326448487276041e-02,-9.463215974422167776e+00
4.575109719864913632e-02,5.782331196669190237e-02,5.782331196669190237e-02,5.782331196669190237e-02,-3.060957588242751548e+00
-2.718877182850691285e-02,-2.654318864155192151e-02,-2.654318864155192151e-02,-2.654318864155190763e-02,9.244721924367540922e+00
-1.688086978675859273e-01,-1.828605406495617813e-01,-1.828605406495617813e-01,-1.828605406495618091e-01,2.921188623482053970e+01
-3.671414787518799128e-01,-3.953718340814364463e-01,-3.953718340814364463e-01,-3.953718340814364463e-01,5.814919213547662480e+01
-5.805759534489597362e-01,-6.167856893062443335e-01,-6.167856893062443335e-01,-6.167856893062443335e-01,9.623384131943141995e+01
-7.470448788108122740e-01,-7.808153166179544469e-01,-7.808153166179544469e-01,-7.808153166179544469e-01,1.417234853155252097e+02
-8.121776223920267324e-01,-8.354466285336611397e-01,-8.354466285336611397e-01,-8.354466285336612508e-01,1.909483816481664746e+02
-7.582623628031017748e-01,-7.711812755040848844e-01,-7.711812755040848844e-01,-7.711812755040846623e-01,2.397669180644915912e+02
-6.059504708260402550e-01,-6.144232950398351711e-01,-6.144232950398351711e-01,-6.144232950398353932e-01,2.852259884502079217e+02
-3.921634333489125712e-01,-4.009826996031048973e-01,-4.009826996031048973e-01,-4.009826996031049529e-01,3.259499295451150260e+02
-1.528318180762038569e-01,-1.629731786253070525e-01,-1.629731786253070525e-01,-1.629731786253069692e-01,3.617764508973835405e+02
7.897056786319457677e-02,6.873966230271021105e-02,6.873966230271021105e-02,6.873966230271018329e-02,3.934795191270835630e+02
2.718210920618795434e-01,2.630136904714271417e-01,2.630136904714271417e-01,2.630136904714271417e-01,4.224986483957274572e+02
4.004280316424690955e-01,3.939135163249459226e-01,3.939135163249459226e-01,3.939135163249459226e-01,4.506190382667140284e+02
4.516453717317931993e-01,4.475560605040258544e-01,4.475560605040258544e-01,4.475560605040260209e-01,4.796878673136915836e+02
4.266732714756930056e-01,4.247151437598758461e-01,4.247151437598758461e-01,4.247151437598760126e-01,5.112893977819929319e+02
