# Pank,Pftd,Par,GRF
1.973397181228138744e-02,-7.059105199060812523e-11,1.973397174169033708e-02,-5.010136136632738391e-10
2.155052545330839175e-02,-4.894634735433310428e-11,2.155052540436204478e-02,-3.601254314468934059e-10
2.041836042723622208e-02,-3.030604801726303618e-11,2.041836039693017274e-02,-2.338245092922156250e-10
1.841687443136491922e-02,-1.626081698954321291e-11,1.841687441510410014e-02,-1.325204036854984337e-10
1.630824782893649724e-02,-6.798989946034848607e-12,1.630824782213750879e-02,-5.871598434026268396e-11
1.409825426436764860e-02,-1.090018629499187467e-12,1.409825426327762816e-02,-9.952958621462138468e-12
1.165687120423378187e-02,1.889593867952906710e-12,1.165687120612337452e-02,1.832750250541004781e-11
9.070136062663030491e-03,3.091555785863608342e-12,9.070136065754585281e-03,3.152414142695994006e-11
6.695073884268913471e-03,3.246400626649402925e-12,6.695073887515314882e-03,3.461646271538596253e-11
4.979540011444689128e-03,2.851080805065354442e-12,4.979540014295769611e-03,3.161655383483283165e-11
4.156422538363837779e-03,2.245497858083062377e-12,4.156422540609335838e-03,2.580165783946431334e-11
4.040737079025349607e-03,1.598455979030388396e-12,4.040737080623805350e-03,1.902302108027290732e-11
4.040665025267109293e-03,1.033481954949769288e-12,4.040665026300590754e-03,1.278947886095026530e-11
3.253056102255933151e-03,5.855130131327653183e-13,3.253056102841446126e-03,7.609136505675138384e-12
6.854503929376480143e-04,2.628918540080019885e-13,6.854503932005398276e-04,3.655395078122224260e-12
-4.196206701256426259e-03,7.319126173285784753e-14,-4.196206701183235674e-03,1.124755721478373560e-12
-1.086073050337114758e-02,-3.593542670180941584e-14,-1.086073050340708411e-02,-6.307055692988721130e-13
-1.761375637983707970e-02,-6.017889119194633575e-14,-1.761375637989725726e-02,-1.308894976037130739e-12
-2.232855960105955412e-02,-5.419966476526578771e-14,-2.232855960111375382e-02,-1.650700752465375317e-12
-2.366185310185999965e-02,-2.935507077175333784e-14,-2.366185310188935464e-02,-1.610853697733927264e-12
-2.161980977435162127e-02,-3.079979166049198966e-15,-2.161980977435470214e-02,-1.200633039472969993e-12
-1.690682457910124697e-02,1.553746456119450719e-14,-1.690682457908571079e-02,-1.159784948788230649e-12
-1.002052908588359735e-02,1.506801872515944307e-14,-1.002052908586852954e-02,-5.234713305258240240e-13
-1.180449483621069488e-03,2.386774279188449195e-14,-1.180449483597201862e-03,-5.470180649463299323e-13
8.713026656834764114e-03,1.193506663722065913e-14,8.713026656846699011e-03,-2.091216184633864080e-13
1.674168408618985013e-02,-3.029265823705995149e-15,1.674168408618682130e-02,4.371375612009989788e-14
1.836400691552214984e-02,2.028198663852656428e-14,1.836400691554243222e-02,-2.594917414025346631e-13
1.149130243723007865e-02,-3.513524389119340007e-14,1.149130243719494356e-02,4.175704610028605166e-13
3.118567808190836018e-04,2.437594219914669018e-14,3.118567808434595566e-04,-2.841429428612727089e-13
-8.071490156613859643e-03,-2.615693938371241837e-14,-8.071490156640017538e-03,3.118054445330270265e-13
-9.829368249829306334e-03,-6.132744789679756651e-15,-9.829368249835438581e-03,7.454068519008622094e-14
-4.876254301699849136e-03,1.979129106086196740e-14,-4.876254301680057676e-03,-2.718790906155488443e-13
4.754187547515638726e-03,-4.242126754415518243e-14,4.754187547473216931e-03,6.630520124618709698e-13
1.493868010208800924e-02,4.284843254818017511e-14,1.493868010213085865e-02,-7.830609333572608161e-13
2.133838976724404188e-02,-3.551731930602217951e-14,2.133838976720852168e-02,7.805609465396581316e-13
