# InvDyn,Takahashi,Zelik,Frigo,GRF
1.257753644098056700e-03,-2.955721448438407377e-20,-2.955721448438407377e-20,-2.955721448438407979e-20,1.169575548763622267e-18
1.089260780480612962e-03,-2.023320421175061458e-20,-2.023320421175061458e-20,-2.023320421175061157e-20,8.000811821561304842e-19
9.225223275407305962e-04,-1.243653752133344761e-20,-1.243653752133344761e-20,-1.243653752133345062e-20,4.883041839605571587e-19
8.085399071773853412e-04,-6.456639803979674632e-21,-6.456639803979674632e-21,-6.456639803979674632e-21,2.501836444141603671e-19
7.592519762457806791e-04,-2.227679277135876660e-21,-2.227679277135876660e-21,-2.227679277135876284e-21,8.481920944201284309e-20
7.393725049616050498e-04,4.911730095670159155e-22,4.911730095670159155e-22,4.911730095670159155e-22,-1.795049775027717001e-20
6.910177840955771368e-04,2.020513770920161195e-21,2.020513770920161195e-21,2.020513770920161947e-21,-7.258857502873879155e-20
5.975246614864422210e-04,2.656480191081698540e-21,2.656480191081698540e-21,2.656480191081698916e-21,-9.284448784090116593e-20
4.992074300677570072e-04,2.697176242210516004e-21,2.697176242210516004e-21,2.697176242210516004e-21,-9.178033764863602964e-20
4.238057320553774974e-04,2.372445210742931724e-21,2.372445210742931724e-21,2.372445210742932477e-21,-7.877557815150664376e-20
3.409397286905926851e-04,1.877710937379061431e-21,1.877710937379061431e-21,1.877710937379061431e-21,-6.092362751096836907e-20
2.075921572159871234e-04,1.361115992221994770e-21,1.361115992221994770e-21,1.361115992221994394e-21,-4.313834660973407125e-20
2.675101887429770904e-05,8.757754615135727255e-22,8.757754615135727255e-22,8.757754615135727255e-22,-2.707122597859784696e-20
-1.695083090364746508e-04,4.998827536597572880e-22,4.998827536597572880e-22,4.998827536597572880e-22,-1.504281452140104836e-20
-3.714161121917091118e-04,2.039775807834267855e-22,2.039775807834267855e-22,2.039775807834267855e-22,-5.959949914168880193e-21
-5.823942376630473041e-04,1.069511817161142815e-23,1.069511817161142815e-23,1.069511817161142815e-23,-2.867965064891816169e-22
-7.793352242361035673e-04,-9.561287621063072277e-23,-9.561287621063072277e-23,-9.561287621063071101e-23,2.656754463591046133e-21
-9.298186719522309523e-04,-1.697732676164222620e-22,-1.697732676164222620e-22,-1.697732676164223326e-22,4.587442677481495134e-21
-1.034288222141589372e-03,-1.542874162889752562e-22,-1.542874162889752562e-22,-1.542874162889752327e-22,4.050215368528440201e-21
-1.118633474886342660e-03,-1.675917215087565763e-22,-1.675917215087565763e-22,-1.675917215087565998e-22,4.292081377325523601e-21
-1.200836536112602276e-03,-1.208113902070478490e-22,-1.208113902070478490e-22,-1.208113902070478490e-22,3.014823509028517469e-21
-1.286505215574745191e-03,-8.776668536817087852e-23,-8.776668536817087852e-23,-8.776668536817090203e-23,2.127535547822145499e-21
-1.387017617914339208e-03,-8.414250125721577409e-23,-8.414250125721577409e-23,-8.414250125721577409e-23,2.001907794843887407e-21
-1.520130384004015614e-03,-4.488499558201563150e-24,-4.488499558201563150e-24,-4.488499558201563885e-24,9.069691406059090151e-23
-1.692464073449176506e-03,-5.563305169190698191e-23,-5.563305169190698191e-23,-5.563305169190698191e-23,1.261344653297295744e-21
-1.909993990718423336e-03,2.735368406570968837e-23,2.735368406570968837e-23,2.735368406570969424e-23,-6.066177907242538683e-22
-2.206464371884100332e-03,-6.003597421859187570e-24,-6.003597421859187570e-24,-6.003597421859186835e-24,1.231415043409097614e-22
-2.615198533561142753e-03,-1.232277097450928366e-23,-1.232277097450928366e-23,-1.232277097450928660e-23,2.733618723570939591e-22
-3.102245515999714313e-03,6.764553818733292222e-23,6.764553818733292222e-23,6.764553818733293397e-23,-1.414059713109956043e-21
-3.573097813679990478e-03,-7.622545495949015070e-23,-7.622545495949015070e-23,-7.622545495949015070e-23,1.560267269648043678e-21
-3.958165445280277528e-03,1.026472546107913775e-22,1.026472546107913775e-22,1.026472546107913775e-22,-2.044197126847791998e-21
-4.261992958585438494e-03,-6.600072610103945474e-23,-6.600072610103945474e-23,-6.600072610103946649e-23,1.280953210154456228e-21
-4.539005611673033007e-03,2.041987001229611847e-23,2.041987001229611847e-23,2.041987001229611553e-23,-3.750006020400676824e-22
-4.866187473046680069e-03,6.911659931017002871e-23,6.911659931017002871e-23,6.911659931017004046e-23,-1.306178654293196436e-21
-5.306141904391570643e-03,-1.541304556745912569e-22,-1.541304556745912569e-22,-1.541304556745912569e-22,2.829603179610799237e-21
