# InvDyn,Takahashi,Zelik,Frigo,GRF
-4.285063551316458720e-04,5.956257434484237835e-18,5.956257434484237835e-18,5.956257434484238605e-18,-1.163087788061041166e-16
-5.429772831807036472e-04,4.367363545906962724e-18,4.367363545906962724e-18,4.367363545906963494e-18,-8.512312577597021062e-17
-7.620235839629491961e-04,2.917772527657528752e-18,2.917772527657528752e-18,2.917772527657528752e-18,-5.643730124529468265e-17
-1.074849622588082768e-03,1.725937165475039586e-18,1.725937165475039586e-18,1.725937165475039586e-18,-3.298109100241715982e-17
-1.467843443171794543e-03,8.282235208996405919e-19,8.282235208996405919e-19,8.282235208996405919e-19,-1.558814893783990870e-17
-1.902600831372967382e-03,2.081959312813449771e-19,2.081959312813449771e-19,2.081959312813449531e-19,-3.853479611743462576e-18
-2.312290841954848554e-03,-1.731168353179888783e-19,-1.731168353179888783e-19,-1.731168353179889023e-19,3.138091461550517146e-18
-2.630821029746832369e-03,-3.709563956964855746e-19,-3.709563956964855746e-19,-3.709563956964854783e-19,6.596912375283150076e-18
-2.831767431203525368e-03,-4.374093599273513243e-19,-4.374093599273513243e-19,-4.374093599273512280e-19,7.625092846563270531e-18
-2.936183287452676441e-03,-4.186256013762820401e-19,-4.186256013762820401e-19,-4.186256013762820401e-19,7.153518645746001872e-18
-2.992880632616113420e-03,-3.560106207062020574e-19,-3.560106207062020574e-19,-3.560106207062021537e-19,5.963860388834323211e-18
-3.058279576096073309e-03,-2.718662148874043513e-19,-2.718662148874043513e-19,-2.718662148874044476e-19,4.463690477147960289e-18
-3.200436401631501573e-03,-1.910749142649522085e-19,-1.910749142649522085e-19,-1.910749142649521604e-19,3.073365796677158142e-18
-3.508811345049199851e-03,-1.186384769856812836e-19,-1.186384769856812836e-19,-1.186384769856812595e-19,1.868342129864915557e-18
-4.035372575208763177e-03,-6.129769368956985536e-20,-6.129769368956985536e-20,-6.129769368956987943e-20,9.449926166077351504e-19
-4.707636628859458716e-03,-2.309693931859998007e-20,-2.309693931859998007e-20,-2.309693931859997706e-20,3.487302848272382347e-19
-5.370429444308399448e-03,6.916697344757049347e-21,6.916697344757049347e-21,6.916697344757050852e-21,-1.020437222142308601e-19
-5.937725517862042779e-03,1.704438020916012037e-20,1.704438020916012037e-20,1.704438020916012338e-20,-2.464643218741554609e-19
-6.452172238475064291e-03,2.651554832684803425e-20,2.651554832684803425e-20,2.651554832684803726e-20,-3.758326669851048135e-19
-6.991739334495486284e-03,2.550228904513734420e-20,2.550228904513734420e-20,2.550228904513734420e-20,-3.540361800620623663e-19
-7.568772202908280976e-03,1.991508571998973969e-20,1.991508571998973969e-20,1.991508571998973969e-20,-2.707790571223637131e-19
-8.112841422389865248e-03,2.185463818423276858e-20,2.185463818423276858e-20,2.185463818423276557e-20,-2.909646378935111288e-19
-8.488907558865544517e-03,7.116336647026812288e-21,7.116336647026812288e-21,7.116336647026812288e-21,-9.230342502797411860e-20
-8.555791725508665388e-03,1.349816662826015845e-20,1.349816662826015845e-20,1.349816662826016146e-20,-1.714294852217477499e-19
-8.281745419290491295e-03,1.618948256342339198e-21,1.618948256342339198e-21,1.618948256342338822e-21,-1.958014307465889244e-20
-7.767768687956636518e-03,7.109208393049730899e-22,7.109208393049730899e-22,7.109208393049730899e-22,-8.753745526362825505e-21
-7.117514307914315705e-03,6.770343512381236683e-21,6.770343512381236683e-21,6.770343512381236683e-21,-7.831984802405925563e-20
-6.363849410636486167e-03,-1.283188331751104377e-20,-1.283188331751104377e-20,-1.283188331751104377e-20,1.436980579797443293e-19
-5.615298573983715062e-03,1.321701936219869618e-20,1.321701936219869618e-20,1.321701936219869618e-20,-1.437893675418404734e-19
-5.263954103303480729e-03,-1.502258432425669993e-20,-1.502258432425669993e-20,-1.502258432425669391e-20,1.581039183561567381e-19
-5.998555787292875023e-03,5.047734873430446201e-21,5.047734873430446201e-21,5.047734873430446953e-21,-5.276554162400729217e-20
-8.632969628097833178e-03,4.096336847524870395e-21,4.096336847524870395e-21,4.096336847524871900e-21,-3.891438857541270993e-20
-1.385235507962966767e-02,-2.084589574391080557e-20,-2.084589574391080557e-20,-2.084589574391080256e-20,1.978491383605122091e-19
-2.181328276508955055e-02,3.216996259727551535e-20,3.216996259727551535e-20,3.216996259727551535e-20,-2.992226436456548731e-19
-3.171245572842109478e-02,-3.894981624519986655e-20,-3.894981624519986655e-20,-3.894981624519986655e-20,3.554513062698694453e-19
-4.178888662324141412e-02,3.234765622884108695e-20,3.234765622884108695e-20,3.234765622884107491e-20,-2.917895884631072583e-19
-5.002314902331494312e-02,-1.272551858325774012e-20,-1.272551858325774012e-20,-1.272551858325774012e-20,1.162590059923285056e-19
-5.516201852447875920e-02,-1.796654284646187529e-20,-1.796654284646187529e-20,-1.796654284646188131e-20,1.553369593919757934e-19
-5.713681986037615762e-02,5.136016361142879506e-20,5.136016361142879506e-20,5.136016361142879506e-20,-4.584646520291225686e-19
