# Pank,Pftd,Par,GRF
2.539307007070938996e-02,1.250163357378183092e-02,3.789470364449121914e-02,3.119726914035240717e-01
2.846856483719467992e-02,1.043650593139270992e-02,3.890507076858739505e-02,2.887804018722237021e-01
2.992283343000225887e-02,9.309568715960295227e-03,3.923240214596255410e-02,2.975560308336307469e-01
3.218405037962739773e-02,8.916723144227287762e-03,4.110077352385468202e-02,3.408543263033001480e-01
3.535308779335467194e-02,8.774687302012055753e-03,4.412777509536672943e-02,4.110347642739627938e-01
3.759284528020185451e-02,8.250802660148836426e-03,4.584364794035068746e-02,4.888728436922275544e-01
3.610044870180210280e-02,6.696891254255621720e-03,4.279733995605772279e-02,5.416053448041734386e-01
2.859873784063816232e-02,3.598393559493561801e-03,3.219713140013172326e-02,5.210268160796106551e-01
1.516222066940774681e-02,-1.282792613081231011e-03,1.387942805632651558e-02,3.623332138997424900e-01
-7.914243101504032886e-04,-7.773498480600736504e-03,-8.564922790751139034e-03,-1.384856479287562003e-02
-1.414570820457175526e-02,-1.519740045846270683e-02,-2.934310866303446036e-02,-6.952831266250174558e-01
-2.168171690006151162e-02,-2.228157353923364628e-02,-4.396329043929515790e-02,-1.764280442516237057e+00
-2.379073560177934546e-02,-2.705266372441010939e-02,-5.084339932618945485e-02,-3.274065158737105019e+00
-2.283701327353487853e-02,-2.684162581066631970e-02,-4.967863908420119823e-02,-5.213417787924939262e+00
-2.083863075977335222e-02,-1.869084832780863736e-02,-3.952947908758198958e-02,-7.457129086365935855e+00
-1.861979479782161287e-02,-5.256443759541998707e-04,-1.914543917377581339e-02,-9.705149438024193387e+00
-1.631058357506648404e-02,2.674688741780519366e-02,1.043630384273870962e-02,-1.141442179893070730e+01
-1.412312715381730532e-02,5.645729048480617462e-02,4.233416333098886930e-02,-1.173425822079169123e+01
-1.242197713176971911e-02,7.387473278094458529e-02,6.145275564917486444e-02,-9.463215974422167776e+00
-1.106764149687217147e-02,5.681873869552130779e-02,4.575109719864913632e-02,-3.060957588242751548e+00
-9.275910395078230605e-03,-1.791286143342868051e-02,-2.718877182850691285e-02,9.244721924367540922e+00
-7.649771249061658972e-03,-1.611589266185242675e-01,-1.688086978675859273e-01,2.921188623482053970e+01
-1.292202489549326358e-02,-3.542194538563865902e-01,-3.671414787518799128e-01,5.814919213547662480e+01
-4.195702909666156055e-02,-5.386189243522981895e-01,-5.805759534489597362e-01,9.623384131943141995e+01
-1.149589862580312205e-01,-6.320858925527811367e-01,-7.470448788108122740e-01,1.417234853155252097e+02
