# Pank,Pftd,Par,GRF
2.685514300026390147e-02,-8.388874618134746876e-12,2.685514299187502854e-02,-6.101229961106478208e-11
3.009938601272119096e-02,-5.712026435573087822e-12,3.009938600700916289e-02,-4.250950292431101695e-11
2.925654061896178215e-02,-3.460937083975602249e-12,2.925654061550084575e-02,-2.656746608968766800e-11
2.676881540272866081e-02,-1.779333936080599169e-12,2.676881540094932718e-02,-1.417671248340266333e-11
2.400675572126002508e-02,-6.514873219242242669e-13,2.400675572060853927e-02,-5.418537715510918390e-12
2.166647568904640081e-02,1.907098878178770999e-14,2.166647568906546889e-02,1.530124222540031665e-13
2.009420778012957487e-02,3.535168881968729208e-13,2.009420778048309417e-02,3.219743850490597643e-12
1.937616962074475979e-02,4.628891936191117934e-13,1.937616962120764993e-02,4.477104910504768454e-12
1.932584940541607482e-02,4.410932831667722762e-13,1.932584940585716990e-02,4.579145590623777516e-12
1.943351348795926276e-02,3.543880905781036211e-13,1.943351348831364941e-02,4.014898285663947431e-12
1.884867106942629891e-02,2.499687380385856801e-13,1.884867106967626563e-02,3.164995295625030893e-12
1.650815842189303981e-02,1.553687650930386210e-13,1.650815842204840858e-02,2.274508044903603178e-12
1.156857192657513231e-02,8.229663111087256468e-14,1.156857192665742932e-02,1.465173154131408607e-12
4.164528451426996285e-03,3.561745701956440765e-14,4.164528451462613627e-03,8.364665166100063878e-13
-4.119465774060519780e-03,9.925329248515412722e-15,-4.119465774050594560e-03,3.598552833588465308e-13
-1.069765558825085117e-02,6.568813651163897088e-16,-1.069765558825019371e-02,5.944950395267766315e-14
-1.309631480326129901e-02,6.307191267342756760e-16,-1.309631480326066758e-02,-1.160632979603012999e-13
-1.009175569436716012e-02,4.815712360687848726e-15,-1.009175569436234453e-02,-2.101697868728987525e-13
-2.394829967865035741e-03,8.310578511185209584e-15,-2.394829967856725115e-03,-2.075410923003437798e-13
7.215917295947124957e-03,1.194681809817024885e-14,7.215917295959071998e-03,-2.137882826467673760e-13
1.429003015932952224e-02,1.065519098558327361e-14,1.429003015934017518e-02,-1.532384276523511363e-13
1.454871112468309954e-02,9.763746759656040805e-15,1.454871112469286257e-02,-1.220156489579590539e-13
7.481396671086335340e-03,7.740088719531770177e-15,7.481396671094075676e-03,-8.959678291745412171e-14
-2.059733875365446151e-03,2.410558888377321470e-15,-2.059733875363035319e-03,-2.729573473807118050e-14
-8.095564831444981846e-03,4.389595643655367823e-15,-8.095564831440592996e-03,-5.109248893510187731e-14
-8.613343782198707582e-03,-1.779945728891702139e-15,-8.613343782200487408e-03,2.204757456981865449e-14
-4.898870508469368654e-03,1.156368400994699550e-15,-4.898870508468212460e-03,-1.560364639447054979e-14
1.304484698964196703e-03,-6.326421559237500731e-16,1.304484698963563963e-03,9.481586782983783641e-15
8.139300644401421467e-03,-1.995533200886774046e-15,8.139300644399426535e-03,3.425158693844270086e-14
1.349600618681822892e-02,1.883840393715361894e-15,1.349600618682011109e-02,-3.786948601342610801e-14
1.609244480002320135e-02,-2.934138956094440157e-15,1.609244480002026620e-02,7.106338155536791523e-14
1.618319493381820129e-02,1.816792030793965736e-15,1.618319493382001928e-02,-5.453109598039770312e-14
1.486638299594030856e-02,-1.096697456199441428e-15,1.486638299593921221e-02,4.186866861735341491e-14
1.299757592803510442e-02,-1.701817405026546191e-16,1.299757592803493442e-02,8.517691517759644781e-15
1.086571893535349248e-02,8.882325735627533812e-16,1.086571893535438066e-02,-5.913185477280631443e-14
8.540697083213378768e-03,-1.246823946920490841e-15,8.540697083212131502e-03,1.118598555509849324e-13
6.156503193492579400e-03,1.164774341500025716e-15,6.156503193493744266e-03,-1.397771728899159970e-13
3.881209542161393519e-03,-8.211421891731603406e-16,3.881209542160572561e-03,1.286082962321538613e-13
1.839320212183238835e-03,3.607464991559601320e-16,1.839320212183599658e-03,-7.127141838554832604e-14
1.174718909691074934e-04,1.283815318702093196e-16,1.174718909692358765e-04,-3.004803877374034304e-14
-1.214015644828968362e-03,-5.476317651558693145e-16,-1.214015644829516101e-03,1.502630034561269270e-13
-2.106477476384103435e-03,8.357777060778346213e-16,-2.106477476383267732e-03,-2.578506187930452095e-13
-2.551104255210899507e-03,-9.105707218515953758e-16,-2.551104255211810237e-03,3.088955850679665213e-13
-2.578530465052933981e-03,7.350641759312074976e-16,-2.578530465052198892e-03,-2.709050477298010659e-13
-2.234260709506651413e-03,-3.198505094989967245e-16,-2.234260709506971036e-03,1.279022470400559797e-13
-1.564766385001008274e-03,-2.486515985449818207e-16,-1.564766385001256773e-03,1.026886357090500317e-13
-6.344679236737255004e-04,8.343544695009352568e-16,-6.344679236728912068e-04,-3.690824827830592041e-13
4.513779047183811427e-04,-1.279161176880168566e-15,4.513779047171020010e-04,5.914372444879242464e-13
1.548230835480629824e-03,1.429212272827719632e-15,1.548230835482059019e-03,-6.794008194944370867e-13
2.499160465426439846e-03,-1.168043747569482533e-15,2.499160465425271944e-03,5.623494524434450889e-13
3.170593421773992664e-03,4.466159895155333812e-16,3.170593421774439355e-03,-2.163484193902568561e-13
3.482913998501837010e-03,6.623513594498172017e-16,3.482913998502499674e-03,-3.100528920567937301e-13
3.426991648620212119e-03,-1.927872082741536910e-15,3.426991648618284841e-03,8.922278196935754653e-13
3.066243153101104457e-03,2.970479582957055535e-15,3.066243153104075171e-03,-1.349095174431784291e-12
2.516536908091856692e-03,-3.333187136616897586e-15,2.516536908088523421e-03,1.483074949117017503e-12
1.893601981194854064e-03,2.635938952482321809e-15,1.893601981197489759e-03,-1.153637488921729283e-12
1.270855968990884481e-03,-7.366992528617227574e-16,1.270855968990147657e-03,3.233845276294035713e-13
6.923781399320361228e-04,-2.018926622620164094e-15,6.923781399300172300e-04,8.672042785048177964e-13
1.970162080825925237e-04,4.895346358259468367e-15,1.970162080874878863e-04,-2.134948257599562041e-12
-1.917213317687804742e-04,-6.914957672853375645e-15,-1.917213317756954344e-04,3.054248344773126583e-12
-4.777366244167843726e-04,7.249185474002900119e-15,-4.777366244095351258e-04,-3.218368850331204945e-12
-6.787674494020735395e-04,-5.274603591052702045e-15,-6.787674494073480747e-04,2.327304425905228535e-12
-8.146650427290069718e-04,8.164815546694051803e-16,-8.146650427281904592e-04,-3.624996577189662641e-13
-9.079090362178324821e-04,5.728104162593404851e-15,-9.079090362121043168e-04,-2.317225520037367128e-12
-9.719976225898144988e-04,-1.344251448196531360e-14,-9.719976226032570879e-04,5.060513082127549948e-12
-1.002743613584204663e-03,2.017869508532340733e-14,-1.002743613564026142e-03,-6.860999007550314977e-12
-1.001529871641522332e-03,-2.290231638048788052e-14,-1.001529871664424585e-03,6.952113092277817548e-12
-9.946870530891003485e-04,1.690763014160494516e-14,-9.946870530721928661e-04,-4.574060306439755934e-12
-1.017556431582301553e-03,-9.052339626234289447e-17,-1.017556431582392193e-03,4.597716398960985888e-14
-1.093335992131957502e-03,-2.814705652604459473e-14,-1.093335992160104474e-03,6.059536424457863285e-12
-1.223640450016867101e-03,6.098927773621280631e-14,-1.223640449955877910e-03,-1.180933879975065872e-11
-1.382547957383221124e-03,-8.852575504445024513e-14,-1.382547957471746882e-03,1.539933754588842798e-11
-1.521689052456117472e-03,9.466612683195352925e-14,-1.521689052361451444e-03,-1.482820461504028217e-11
-1.596576966501088305e-03,-6.196024453976785281e-14,-1.596576966563048507e-03,8.790772720510182048e-12
-1.592973816208800983e-03,-1.238254085370315930e-14,-1.592973816221183656e-03,1.573120021045250784e-12
-1.520725799251739559e-03,1.281393704654809678e-13,-1.520725799123600090e-03,-1.559184400525926545e-11
-1.392155807527702864e-03,-2.323480229312240501e-13,-1.392155807760050859e-03,2.700011226938741622e-11
-1.218625439331129726e-03,3.112335858696473878e-13,-1.218625439019896048e-03,-3.494648345561871833e-11
-1.015476920193484527e-03,-2.813470002999184464e-13,-1.015476920474831521e-03,3.043607556526371015e-11
-8.043638157161807963e-04,1.691378791395382695e-13,-8.043638155470428722e-04,-1.756347153154167564e-11
-6.166467100990784874e-04,8.975312537198105686e-14,-6.166467100093253042e-04,-8.805298444893463462e-12
-4.873199122077865220e-04,-4.013864257722048838e-13,-4.873199126091729656e-04,3.747912780440106938e-11
-4.287480103537691205e-04,7.125787849727578328e-13,-4.287480096411903072e-04,-6.297428609396021718e-11
-4.183170665560062844e-04,-9.277650452993280285e-13,-4.183170674837713649e-04,7.772037273134987652e-11
-4.224784636786330354e-04,7.752222639337108937e-13,-4.224784629034107554e-04,-6.133608929146926637e-11
-4.294147895259971303e-04,-4.874012743314013332e-13,-4.294147900133983738e-04,3.682052713004311499e-11
-4.753504666784526440e-04,-5.243642511118147830e-13,-4.753504672028169417e-04,3.739473745211800161e-11
-6.594784079351118143e-04,1.167407884020804999e-12,-6.594784067677039556e-04,-7.825620721947286986e-11
-1.098311107635819130e-03,-2.558599014433460626e-12,-1.098311110194418079e-03,1.628363991372602560e-10
-1.810069567163190849e-03,2.470798280901476608e-12,-1.810069564692392543e-03,-1.476190793573249072e-10
-2.669737335229180070e-03,-2.716182630020947690e-12,-2.669737337945362818e-03,1.522847093976942350e-10
-3.511619507701010685e-03,7.720633879576019094e-13,-3.511619506928946848e-03,-4.035325831067567567e-11
-4.229258128766573421e-03,1.785700845710375478e-12,-4.229258126980872494e-03,-8.656992636916901483e-11
-4.787093311029706408e-03,-4.180261890296956226e-12,-4.787093315209967580e-03,1.892030755107557760e-10
-5.199204765508895661e-03,9.664914777088239864e-12,-5.199204755843980959e-03,-4.053801848088153964e-10
-5.503814126013429828e-03,-5.930713669703568981e-12,-5.503814131944143213e-03,2.340882760202220614e-10
-5.748863184848539143e-03,1.306482874796578543e-11,-5.748863171783710410e-03,-4.733452746259009168e-10
-5.980263631846781912e-03,5.993926344264790075e-12,-5.980263625852856070e-03,-1.996541916959039725e-10
-6.222435134978834652e-03,3.916884549739153732e-12,-6.222435131061950474e-03,-1.193170564392059328e-10
-6.494773556030110535e-03,3.114618999108325289e-11,-6.494773524883919874e-03,-9.155460680517045652e-10
-6.851194142850337149e-03,-1.380485913150888200e-11,-6.851194156655196314e-03,3.802884345166364863e-10
-7.364608660964773283e-03,4.062838507875751186e-11,-7.364608620336388078e-03,-1.039797106774909869e-09
-8.071348267940701635e-03,-2.476827079520277482e-11,-8.071348292708972402e-03,5.730472546803309598e-10
-8.949124909231560843e-03,-2.067504443514100939e-11,-8.949124929906605852e-03,4.297186304148756813e-10
-9.924217263461604030e-03,-3.498263736558081658e-11,-9.924217298444242344e-03,6.682146604903569974e-10
-1.087982632957134287e-02,-1.981149461538787552e-10,-1.087982652768628919e-02,3.572413468226080180e-09
-1.169812288763356738e-02,-1.226362911284648331e-10,-1.169812301026985912e-02,1.987238533779500014e-09
-1.235422208544676576e-02,-4.637966843152980003e-10,-1.235422254924345084e-02,6.922367851299310169e-09
-1.298336432004858557e-02,-4.209880995782170128e-10,-1.298336474103668585e-02,5.686471670499338231e-09
-1.384555387812526871e-02,-6.423266560329104424e-10,-1.384555452045192411e-02,7.899392075926196401e-09
-1.524775666511230497e-02,-8.556696488094385260e-10,-1.524775752078195469e-02,9.613881472718669734e-09
-1.749075551366724435e-02,-3.358240007705411444e-10,-1.749075584949124490e-02,3.481204371374851272e-09
-2.080438269407077975e-02,-5.792231780248839744e-10,-2.080438327329395959e-02,5.592102755929088564e-09
-2.524058446858559387e-02,1.186912309635920528e-09,-2.524058328167328238e-02,-1.052558209624033033e-08
-3.047835565195440230e-02,2.242375905539290040e-09,-3.047835340957849928e-02,-1.895338855591240742e-08
-3.556315977940807671e-02,4.980401066841524048e-09,-3.556315479900701293e-02,-4.096445458475478146e-08
-3.907920774694310928e-02,8.853892195108212464e-09,-3.907919889305091349e-02,-7.217716413162223412e-08
-4.029372021140766730e-02,1.137669500355043318e-08,-4.029370883471266457e-02,-9.349456335368982444e-08
-4.026974264837845235e-02,1.679099231496509072e-08,-4.026972585738614052e-02,-1.420914676803318322e-07
-4.087001379584655203e-02,1.744026113419640241e-08,-4.086999635558542093e-02,-1.540384282440290375e-07
-4.210850925510949833e-02,1.880365961146830814e-08,-4.210849045144988284e-02,-1.767757186040563883e-07
-4.139641594152040915e-02,1.506114820256202909e-08,-4.139640088037220556e-02,-1.533771423924257817e-07
-3.605863716174589895e-02,5.942668100635402849e-09,-3.605863121907779134e-02,-6.589698293425998851e-08
-2.588556530313301102e-02,-4.631595848447685495e-09,-2.588556993472886092e-02,6.432577128360715099e-08
-1.297325833418946049e-02,-2.225800514288338205e-08,-1.297328059219460435e-02,3.599329763507490544e-07
-2.892524777917213091e-05,-3.493967541989923877e-08,-2.896018745459203088e-05,7.151688273159555160e-07
1.077482853506908644e-02,-4.528688414773651200e-08,1.077478324818493920e-02,1.264680489352994621e-06
1.807928184614472633e-02,-4.503109903370976376e-08,1.807923681504568919e-02,1.911588746702630860e-06
2.134697651845680888e-02,-3.304698959347610729e-08,2.134694347146721960e-02,2.588212162141326515e-06
2.090195335735558699e-02,-1.190325390158291993e-08,2.090194145410168708e-02,3.290736710582416964e-06
1.791984468724556329e-02,1.186915381452600260e-08,1.791985655639937933e-02,3.587426908932658598e-06
1.404777767076123389e-02,2.711708176012302242e-08,1.404780478784299451e-02,3.454730693285145587e-06
1.069663568403904710e-02,1.109038428626915797e-08,1.069664677442333164e-02,2.207808250298437579e-06
8.612668567457152854e-03,-6.141897190182238964e-08,8.612607148485249692e-03,-5.143723178754089284e-07
7.996501740481956610e-03,-2.219136910556961239e-07,7.996279826790899867e-03,-5.221746390427230134e-06
8.839481134598134449e-03,-5.177151028672419623e-07,8.838963419495266677e-03,-1.272368022749763715e-05
1.104049507863225435e-02,-9.576911139228646394e-07,1.103953738751833023e-02,-2.279660314129488673e-05
1.424545009944349315e-02,-1.569688272982296910e-06,1.424388041117051126e-02,-3.591076488904912552e-05
