# InvDyn,Takahashi,Zelik,Frigo,GRF
2.685514299187502854e-02,-9.427442340849138585e-12,-9.427442340849138585e-12,-9.427442340849138585e-12,-6.101229961106478208e-11
3.009938600700916289e-02,-6.468717623454091694e-12,-6.468717623454091694e-12,-6.468717623454092502e-12,-4.250950292431101695e-11
2.925654061550084575e-02,-3.957467786793144312e-12,-3.957467786793144312e-12,-3.957467786793144312e-12,-2.656746608968766800e-11
2.676881540094932718e-02,-2.055624839001921739e-12,-2.055624839001921739e-12,-2.055624839001922143e-12,-1.417671248340266333e-11
2.400675572060853927e-02,-7.595505269626718260e-13,-7.595505269626718260e-13,-7.595505269626717250e-13,-5.418537715510918390e-12
2.166647568906546889e-02,2.203211951975829187e-14,2.203211951975829187e-14,2.203211951975828556e-14,1.530124222540031665e-13
2.009420778048309417e-02,4.143591862906142331e-13,4.143591862906142331e-13,4.143591862906143340e-13,3.219743850490597643e-12
1.937616962120764993e-02,5.403960204443221907e-13,5.403960204443221907e-13,5.403960204443221907e-13,4.477104910504768454e-12
1.932584940585716990e-02,5.103086601484700216e-13,5.103086601484700216e-13,5.103086601484699206e-13,4.579145590623777516e-12
1.943351348831364941e-02,4.044248873894814723e-13,4.044248873894814723e-13,4.044248873894813713e-13,4.014898285663947431e-12
1.884867106967626563e-02,2.800312428771431852e-13,2.800312428771431852e-13,2.800312428771432357e-13,3.164995295625030893e-12
1.650815842204840858e-02,1.698312840507867796e-13,1.698312840507867796e-13,1.698312840507867796e-13,2.274508044903603178e-12
1.156857192665742932e-02,8.700432965492550543e-14,8.700432965492550543e-14,8.700432965492551805e-14,1.465173154131408607e-12
4.164528451462613627e-03,3.590449847676404981e-14,3.590449847676404981e-14,3.590449847676405612e-14,8.364665166100063878e-13
-4.119465774050594560e-03,9.275506461103989310e-15,9.275506461103989310e-15,9.275506461103989310e-15,3.598552833588465308e-13
-1.069765558825019371e-02,4.987456564007195298e-16,4.987456564007195298e-16,4.987456564007195298e-16,5.944950395267766315e-14
-1.309631480326066758e-02,8.320668005182280844e-16,8.320668005182280844e-16,8.320668005182279858e-16,-1.160632979603012999e-13
-1.009175569436234453e-02,4.517905956708819471e-15,4.517905956708819471e-15,4.517905956708818682e-15,-2.101697868728987525e-13
-2.394829967856725115e-03,6.898781523179933194e-15,6.898781523179933194e-15,6.898781523179934772e-15,-2.075410923003437798e-13
7.215917295959071998e-03,8.939459226908449829e-15,8.939459226908449829e-15,8.939459226908448251e-15,-2.137882826467673760e-13
1.429003015934017518e-02,7.215010064564324405e-15,7.215010064564324405e-15,7.215010064564324405e-15,-1.532384276523511363e-13
1.454871112469286257e-02,6.014646897701599903e-15,6.014646897701599903e-15,6.014646897701599903e-15,-1.220156489579590539e-13
7.481396671094075676e-03,4.402223181882477899e-15,4.402223181882477899e-15,4.402223181882477110e-15,-8.959678291745412171e-14
-2.059733875363035319e-03,1.312060911233860989e-15,1.312060911233860989e-15,1.312060911233860989e-15,-2.729573473807118050e-14
-8.095564831440592996e-03,2.396647456297185191e-15,2.396647456297185191e-15,2.396647456297184796e-15,-5.109248893510187731e-14
-8.613343782200487408e-03,-1.037833190040561415e-15,-1.037833190040561415e-15,-1.037833190040561612e-15,2.204757456981865449e-14
-4.898870508468212460e-03,7.607253816080616784e-16,7.607253816080616784e-16,7.607253816080616784e-16,-1.560364639447054979e-14
1.304484698963563963e-03,-4.862412031813794639e-16,-4.862412031813794639e-16,-4.862412031813793653e-16,9.481586782983783641e-15
8.139300644399426535e-03,-1.805072977117268177e-15,-1.805072977117268177e-15,-1.805072977117267782e-15,3.425158693844270086e-14
1.349600618682011109e-02,2.028539137423879046e-15,2.028539137423879046e-15,2.028539137423878651e-15,-3.786948601342610801e-14
1.609244480002026620e-02,-3.765701303085094777e-15,-3.765701303085094777e-15,-3.765701303085094777e-15,7.106338155536791523e-14
1.618319493382001928e-02,2.776777931971719285e-15,2.776777931971719285e-15,2.776777931971719285e-15,-5.453109598039770312e-14
1.486638299593921221e-02,-2.003942641514393927e-15,-2.003942641514393927e-15,-2.003942641514393927e-15,4.186866861735341491e-14
1.299757592803493442e-02,-3.697497774725931811e-16,-3.697497774725931811e-16,-3.697497774725931811e-16,8.517691517759644781e-15
1.086571893535438066e-02,2.363916778983549322e-15,2.363916778983549322e-15,2.363916778983549322e-15,-5.913185477280631443e-14
8.540697083212131502e-03,-4.035674225988327925e-15,-4.035674225988327925e-15,-4.035674225988328714e-15,1.118598555509849324e-13
6.156503193493744266e-03,4.523235528848459238e-15,4.523235528848459238e-15,4.523235528848459238e-15,-1.397771728899159970e-13
3.881209542160572561e-03,-3.728091955052075709e-15,-3.728091955052075709e-15,-3.728091955052076498e-15,1.286082962321538613e-13
1.839320212183599658e-03,1.852719599652509070e-15,1.852719599652509070e-15,1.852719599652508676e-15,-7.127141838554832604e-14
1.174718909692358765e-04,7.213469364415371400e-16,7.213469364415371400e-16,7.213469364415373372e-16,-3.004803877374034304e-14
-1.214015644829516101e-03,-3.256431712253553968e-15,-3.256431712253553968e-15,-3.256431712253553968e-15,1.502630034561269270e-13
-2.106477476383267732e-03,5.149843080787093380e-15,5.149843080787093380e-15,5.149843080787092591e-15,-2.578506187930452095e-13
-2.551104255211810237e-03,-5.760458101694850375e-15,-5.760458101694850375e-15,-5.760458101694850375e-15,3.088955850679665213e-13
-2.578530465052198892e-03,4.777543194350032395e-15,4.777543194350032395e-15,4.777543194350032395e-15,-2.709050477298010659e-13
-2.234260709506971036e-03,-2.147660902756789322e-15,-2.147660902756789322e-15,-2.147660902756789716e-15,1.279022470400559797e-13
-1.564766385001256773e-03,-1.717308059057479292e-15,-1.717308059057479292e-15,-1.717308059057479687e-15,1.026886357090500317e-13
-6.344679236728912068e-04,5.946863232031712811e-15,5.946863232031712811e-15,5.946863232031712811e-15,-3.690824827830592041e-13
4.513779047171020010e-04,-9.297347654420569761e-15,-9.297347654420569761e-15,-9.297347654420569761e-15,5.914372444879242464e-13
1.548230835482059019e-03,1.044006194701452980e-14,1.044006194701452980e-14,1.044006194701452980e-14,-6.794008194944370867e-13
2.499160465425271944e-03,-8.446047281886033647e-15,-8.446047281886033647e-15,-8.446047281886036802e-15,5.623494524434450889e-13
3.170593421774439355e-03,3.177742735003040016e-15,3.177742735003040016e-15,3.177742735003040804e-15,-2.163484193902568561e-13
3.482913998502499674e-03,4.409071976583393832e-15,4.409071976583393832e-15,4.409071976583394621e-15,-3.100528920567937301e-13
3.426991648618284841e-03,-1.234289861862516504e-14,-1.234289861862516504e-14,-1.234289861862516504e-14,8.922278196935754653e-13
3.066243153104075171e-03,1.807094888427957211e-14,1.807094888427957211e-14,1.807094888427957211e-14,-1.349095174431784291e-12
