# InvDyn,Takahashi,Zelik,Frigo,GRF
1.321344206372133089e-02,2.854146843436306683e-11,2.854146843436306683e-11,2.854146843436307329e-11,-5.038159942940365733e-10
1.869203471054969520e-02,2.102634959436299368e-11,2.102634959436299368e-11,2.102634959436299691e-11,-3.742000631311766297e-10
1.931497917060228872e-02,1.401746004248381322e-11,1.401746004248381322e-11,1.401746004248380838e-11,-2.522237853258607615e-10
1.500932582054952287e-02,8.294070936731894295e-12,8.294070936731894295e-12,8.294070936731894295e-12,-1.508384986036597301e-10
9.792630262291211404e-03,4.087720083249936243e-12,4.087720083249936243e-12,4.087720083249934627e-12,-7.456400506889051331e-11
7.434417044496590028e-03,1.256933451636283965e-12,1.256933451636283965e-12,1.256933451636283562e-12,-2.224195373207123898e-11
7.669667994459472907e-03,-4.624561398413779633e-13,-4.624561398413779633e-13,-4.624561398413779633e-13,9.577050375721905810e-12
8.032760023872036192e-03,-1.374396330484780570e-12,-1.374396330484780570e-12,-1.374396330484780570e-12,2.598138514239042006e-11
7.058771486879663465e-03,-1.706876420708192425e-12,-1.706876420708192425e-12,-1.706876420708192223e-12,3.155131580401354546e-11
5.192404072903797872e-03,-1.652126864919847367e-12,-1.652126864919847367e-12,-1.652126864919847367e-12,3.031734283431053026e-11
3.637209464273909870e-03,-1.393375490846680555e-12,-1.393375490846680555e-12,-1.393375490846681161e-12,2.574050017233520386e-11
2.913887321251527971e-03,-1.031599218293249203e-12,-1.031599218293249203e-12,-1.031599218293249203e-12,1.950646246722126449e-11
2.669399151198524871e-03,-7.016272993692522320e-13,-7.016272993692522320e-13,-7.016272993692519290e-13,1.368818567719106128e-11
2.354380044696512218e-03,-4.155023568086089351e-13,-4.155023568086089351e-13,-4.155023568086089351e-13,8.459656133999705786e-12
1.706719714700584726e-03,-2.085372707154138526e-13,-2.085372707154138526e-13,-2.085372707154139031e-13,4.440188762616500774e-12
8.080857764231511942e-04,-8.228078808947699704e-14,-8.228078808947699704e-14,-8.228078808947699704e-14,1.825765917606729837e-12
-6.299935013844038814e-05,9.830503714388013559e-15,9.830503714388013559e-15,9.830503714388013559e-15,-2.824165214836103184e-13
-6.354848630934576683e-04,3.044324676348606786e-14,3.044324676348606786e-14,3.044324676348606786e-14,-8.611710033242300941e-13
-8.184104825834898718e-04,5.370919441910058079e-14,5.370919441910058079e-14,5.370919441910060604e-14,-1.601464107470817884e-12
-7.177808181791459638e-04,4.438909238732887438e-14,4.438909238732887438e-14,4.438909238732888701e-14,-1.461910123768823901e-12
-4.892399904933431975e-04,3.142926929112164241e-14,3.142926929112164241e-14,3.142926929112164241e-14,-1.144322481690315080e-12
-2.053898426889927723e-04,3.334393014351371488e-14,3.334393014351371488e-14,3.334393014351370226e-14,-1.338461912696795706e-12
1.393569091759984423e-04,6.077259787374252524e-15,6.077259787374252524e-15,6.077259787374253312e-15,-2.946702256895109037e-13
5.543203845699535377e-04,1.850525551413212806e-14,1.850525551413212806e-14,1.850525551413212490e-14,-9.023647943429022469e-13
1.004463662569755715e-03,-9.041046940146925949e-16,-9.041046940146925949e-16,-9.041046940146927922e-16,1.943604362916680937e-14
1.414688255554932567e-03,2.036100960185521859e-15,2.036100960185521859e-15,2.036100960185521071e-15,-1.058756842511793644e-13
1.709210810965840991e-03,5.964646815952274410e-15,5.964646815952274410e-15,5.964646815952275199e-15,-4.043192712497687097e-13
1.845518752456551262e-03,-1.066337277299434782e-14,-1.066337277299434782e-14,-1.066337277299434782e-14,7.905200068288518965e-13
1.813800819226602965e-03,1.131720228658113339e-14,1.131720228658113339e-14,1.131720228658113339e-14,-9.030735660682307227e-13
1.626133772283452558e-03,-1.103142854710163168e-14,-1.103142854710163168e-14,-1.103142854710163168e-14,9.926941552548472577e-13
1.325463711297960884e-03,5.001426603124726482e-15,5.001426603124726482e-15,5.001426603124726482e-15,-4.813471309034341674e-13
9.896839516566455133e-04,4.706897966288296431e-16,4.706897966288296431e-16,4.706897966288298404e-16,-8.254103009225184140e-14
6.996285407534374610e-04,-7.048046322013223207e-15,-7.048046322013223207e-15,-7.048046322013223207e-15,1.013732455317205192e-12
5.027260386551547040e-04,1.010329947042525126e-14,1.010329947042525126e-14,1.010329947042525126e-14,-1.719993612189476772e-12
4.117961211312368489e-04,-1.034742005048727348e-14,-1.034742005048727348e-14,-1.034742005048727505e-14,2.165100476704144336e-12
4.212831106746239775e-04,7.346656644087783299e-15,7.346656644087783299e-15,7.346656644087786454e-15,-1.941089194134834371e-12
5.147471686930951609e-04,-3.008940249322566382e-15,-3.008940249322566382e-15,-3.008940249322566382e-15,1.016087552762257538e-12
6.620766409983558972e-04,-1.233683314945617069e-15,-1.233683314945617069e-15,-1.233683314945617069e-15,5.545789104975302589e-13
8.083688976862224039e-04,4.489023347341548916e-15,4.489023347341548916e-15,4.489023347341548916e-15,-2.412930800201373198e-12
8.799997904280128800e-04,-6.844695768791455770e-15,-6.844695768791455770e-15,-6.844695768791455770e-15,4.028236601675933620e-12
8.282242877114452890e-04,8.325333803727034917e-15,8.325333803727034917e-15,8.325333803727034917e-15,-4.737100228156227391e-12
6.699351909189429563e-04,-8.218803434593615473e-15,-8.218803434593615473e-15,-8.218803434593617051e-15,4.089618556699358467e-12
4.790072142968034366e-04,4.378695770079452402e-15,4.378695770079452402e-15,4.378695770079452402e-15,-1.769317799859475746e-12
3.379640114868631695e-04,4.415403224938642529e-15,4.415403224938642529e-15,4.415403224938643317e-15,-1.771046160002670662e-12
3.135653619040524860e-04,-1.833735818588482009e-14,-1.833735818588482009e-14,-1.833735818588481693e-14,5.915011506726784519e-12
4.510403043343237921e-04,3.316638723706576504e-14,3.316638723706576504e-14,3.316638723706577135e-14,-9.188393934534509077e-12
7.421020282848145039e-04,-4.305286462527651584e-14,-4.305286462527651584e-14,-4.305286462527650322e-14,1.041764060731452831e-11
1.104711518383676020e-03,3.982505888995364389e-14,3.982505888995364389e-14,3.982505888995363758e-14,-8.443336916282161054e-12
1.421535117019782132e-03,-1.634259497417325825e-14,-1.634259497417325825e-14,-1.634259497417325825e-14,2.841902078668003405e-12
1.613011480360293558e-03,-2.600785586138477797e-14,-2.600785586138477797e-14,-2.600785586138477797e-14,5.096558329214527314e-12
1.678918340216476032e-03,8.626403440337804996e-14,8.626403440337804996e-14,8.626403440337804996e-14,-1.442754227147324380e-11
1.667665988048968847e-03,-1.361878078778037940e-13,-1.361878078778037940e-13,-1.361878078778037687e-13,2.056873753650386618e-11
