# Pank,Pftd,Par,GRF
1.321344202520884602e-02,3.851248607238196626e-11,1.321344206372133089e-02,-5.038159942940365733e-10
1.869203468032543461e-02,3.022425995164917062e-11,1.869203471054969520e-02,-3.742000631311766297e-10
1.931497914891024820e-02,2.169203832698126354e-11,1.931497917060228872e-02,-2.522237853258607615e-10
1.500932580698582409e-02,1.356369902289050677e-11,1.500932582054952287e-02,-1.508384986036597301e-10
9.792630255522955310e-03,6.768255870520049703e-12,9.792630262291211404e-03,-7.456400506889051331e-11
7.434417042522314251e-03,1.974275764628960062e-12,7.434417044496590028e-03,-2.224195373207123898e-11
7.669667995175144352e-03,-7.156720156393989923e-13,7.669667994459472907e-03,9.577050375721905810e-12
8.032760025651742783e-03,-1.779706859068520497e-12,8.032760023872036192e-03,2.598138514239042006e-11
7.058771488725144698e-03,-1.845480388998580003e-12,7.058771486879663465e-03,3.155131580401354546e-11
5.192404074366471604e-03,-1.462674030243290671e-12,5.192404072903797872e-03,3.031734283431053026e-11
3.637209465270803844e-03,-9.968938927482538166e-13,3.637209464273909870e-03,2.574050017233520386e-11
2.913887321844939142e-03,-5.934112421164960087e-13,2.913887321251527971e-03,1.950646246722126449e-11
2.669399151521100605e-03,-3.225758928054274207e-13,2.669399151198524871e-03,1.368818567719106128e-11
2.354380044849753786e-03,-1.532413576545995187e-13,2.354380044696512218e-03,8.459656133999705786e-12
1.706719714762768058e-03,-6.218332113752780919e-14,1.706719714700584726e-03,4.440188762616500774e-12
8.080857764435248709e-04,-2.037363113083542292e-14,8.080857764231511942e-04,1.825765917606729837e-12
-6.299935014033219895e-05,1.891804008940045233e-15,-6.299935013844038814e-05,-2.824165214836103184e-13
-6.354848630987259151e-04,5.268249451062324730e-15,-6.354848630934576683e-04,-8.611710033242300941e-13
-8.184104825922775472e-04,8.787623746710423118e-15,-8.184104825834898718e-04,-1.601464107470817884e-12
-7.177808181856868471e-04,6.540862725784661653e-15,-7.177808181791459638e-04,-1.461910123768823901e-12
-4.892399904976448780e-04,4.301768135621181446e-15,-4.892399904933431975e-04,-1.144322481690315080e-12
-2.053898426934009757e-04,4.408213653535052984e-15,-2.053898426889927723e-04,-1.338461912696795706e-12
1.393569091752868533e-04,7.115953680374566659e-16,1.393569091759984423e-04,-2.946702256895109037e-13
5.543203845675199375e-04,2.433504397888589922e-15,5.543203845699535377e-04,-9.023647943429022469e-13
1.004463662569851125e-03,-9.543279215619414842e-17,1.004463662569755715e-03,1.943604362916680937e-14
1.414688255554667805e-03,2.649008728572242382e-16,1.414688255554932567e-03,-1.058756842511793644e-13
1.709210810964882339e-03,9.587215031853290766e-16,1.709210810965840991e-03,-4.043192712497687097e-13
1.845518752458343232e-03,-1.792099817482666857e-15,1.845518752456551262e-03,7.905200068288518965e-13
1.813800819224722308e-03,1.880534308790429540e-15,1.813800819226602965e-03,-9.030735660682307227e-13
1.626133772285346009e-03,-1.893607956568073639e-15,1.626133772283452558e-03,9.926941552548472577e-13
1.325463711297186764e-03,7.741233487112993055e-16,1.325463711297960884e-03,-4.813471309034341674e-13
9.896839516564356117e-04,2.099517849756914127e-16,9.896839516566455133e-04,-8.254103009225184140e-14
6.996285407551407426e-04,-1.703300730731501207e-15,6.996285407534374610e-04,1.013732455317205192e-12
5.027260386524411628e-04,2.713529262462752623e-15,5.027260386551547040e-04,-1.719993612189476772e-12
4.117961211344137239e-04,-3.176864342161764569e-15,4.117961211312368489e-04,2.165100476704144336e-12
4.212831106721550323e-04,2.468960947368119828e-15,4.212831106746239775e-04,-1.941089194134834371e-12
5.147471686940447051e-04,-9.494842410188095442e-16,5.147471686930951609e-04,1.016087552762257538e-12
6.620766409991817340e-04,-8.258688028174335518e-16,6.620766409983558972e-04,5.545789104975302589e-13
8.083688976839426520e-04,2.279799813654498056e-15,8.083688976862224039e-04,-2.412930800201373198e-12
8.799997904308726800e-04,-2.859918418426984163e-15,8.799997904280128800e-04,4.028236601675933620e-12
8.282242877093287095e-04,2.116484519802481066e-15,8.282242877114452890e-04,-4.737100228156227391e-12
6.699351909193347870e-04,-3.918365448306806741e-16,6.699351909189429563e-04,4.089618556699358467e-12
4.790072142978603169e-04,-1.056874381515313599e-15,4.790072142968034366e-04,-1.769317799859475746e-12
3.379640114856820397e-04,1.181093699106583622e-15,3.379640114868631695e-04,-1.771046160002670662e-12
3.135653619034848519e-04,5.676648875147295576e-16,3.135653619040524860e-04,5.915011506726784519e-12
4.510403043378537918e-04,-3.530035558321224395e-15,4.510403043343237921e-04,-9.188393934534509077e-12
7.421020282783582969e-04,6.456166925172944253e-15,7.421020282848145039e-04,1.041764060731452831e-11
1.104711518391213176e-03,-7.537091635145607226e-15,1.104711518383676020e-03,-8.443336916282161054e-12
1.421535117014444604e-03,5.337513921359499528e-15,1.421535117019782132e-03,2.841902078668003405e-12
