# InvDyn,Takahashi,Zelik,Frigo,GRF
1.926531324991587397e-04,1.178872054219687625e-16,1.178872054219687625e-16,1.178872054219687871e-16,-2.868940980160094049e-15
3.739633163218290248e-04,8.240020368896315028e-17,8.240020368896315028e-17,8.240020368896317493e-17,-2.005236863189590642e-15
5.646076930689453979e-04,5.215117681130506383e-17,5.215117681130506383e-17,5.215117681130504534e-17,-1.258250093547047258e-15
6.765464648252815473e-04,2.852635819525290237e-17,2.852635819525290237e-17,2.852635819525289621e-17,-6.758631141858012105e-16
6.609604034202452762e-04,1.139641248053469514e-17,1.139641248053469514e-17,1.139641248053469514e-17,-2.629516671570638813e-16
5.173892503768800794e-04,-6.195790531638403588e-20,-6.195790531638403588e-20,-6.195790531638403588e-20,7.633898212231882433e-19
2.415243909285497723e-04,-6.909897209875640755e-18,-6.909897209875640755e-18,-6.909897209875639214e-18,1.467454793663481618e-16
-2.081286550497032516e-04,-1.019971667085815102e-17,-1.019971667085815102e-17,-1.019971667085815102e-17,2.075171596987761861e-16
-8.890635762547424324e-04,-1.098267605151550936e-17,-1.098267605151550936e-17,-1.098267605151550936e-17,2.136088490205709525e-16
-1.821024804594240489e-03,-1.010768086471053405e-17,-1.010768086471053405e-17,-1.010768086471053405e-17,1.880138760871332709e-16
-2.928870981188913189e-03,-8.346904784407746339e-18,-8.346904784407746339e-18,-8.346904784407747880e-18,1.487174513301874587e-16
-4.038540062555266708e-03,-6.268471258979330180e-18,-6.268471258979330180e-18,-6.268471258979328640e-18,1.071509135593552912e-16
-4.949807930102734059e-03,-4.222035545105388645e-18,-4.222035545105388645e-18,-4.222035545105389416e-18,6.933074992954501821e-17
-5.529629522023058776e-03,-2.518724655330782411e-18,-2.518724655330782411e-18,-2.518724655330782797e-18,3.975739373238800119e-17
-5.766048689167609445e-03,-1.140582120693059412e-18,-1.140582120693059412e-18,-1.140582120693059412e-18,1.732309068122005679e-17
-5.746064449878789983e-03,-2.155234267524202132e-19,-2.155234267524202132e-19,-2.155234267524202373e-19,3.160700826850092605e-18
-5.569472046164083631e-03,3.739942980555651170e-19,3.739942980555651170e-19,3.739942980555651170e-19,-5.272602407358056059e-18
-5.273466924430220831e-03,7.063860015616958105e-19,7.063860015616958105e-19,7.063860015616958105e-19,-9.643440739857136546e-18
-4.831177124747162120e-03,7.346439167230358377e-19,7.346439167230358377e-19,7.346439167230358377e-19,-9.728335532606163131e-18
-4.229712765412556308e-03,7.746694155070894241e-19,7.746694155070894241e-19,7.746694155070894241e-19,-9.969795867228919083e-18
-3.548630982578477016e-03,5.726354466893314600e-19,5.726354466893314600e-19,5.726354466893314600e-19,-7.172515361696719964e-18
-2.923209817145433747e-03,4.773948069332117658e-19,4.773948069332117658e-19,4.773948069332115732e-19,-5.828019300394827745e-18
-2.418289124629015123e-03,3.424997071081029943e-19,3.424997071081029943e-19,3.424997071081029943e-19,-4.091257638890879143e-18
-1.989863514409208074e-03,1.256187576825871977e-19,1.256187576825871977e-19,1.256187576825871977e-19,-1.468765041695592490e-18
-1.597944278542297097e-03,1.985213567920494692e-19,1.985213567920494692e-19,1.985213567920494452e-19,-2.281750834765696020e-18
-1.356019706841155893e-03,-8.475863892309041456e-20,-8.475863892309041456e-20,-8.475863892309042659e-20,9.579267365248018173e-19
-1.672379305601329278e-03,7.192043975072771865e-20,7.192043975072771865e-20,7.192043975072773069e-20,-8.090957845836396938e-19
-3.434589421298907697e-03,-5.640930976056236115e-20,-5.640930976056236115e-20,-5.640930976056236115e-20,6.407530247374603363e-19
-8.118141280649167693e-03,-1.206866164205789355e-19,-1.206866164205789355e-19,-1.206866164205789114e-19,1.286168354245722834e-18
-1.752605517887425440e-02,1.353552523825025051e-19,1.353552523825025051e-19,1.353552523825025532e-19,-1.423393286460021956e-18
-3.299922302674173497e-02,-2.852661630956527398e-19,-2.852661630956527398e-19,-2.852661630956527880e-19,3.049503929799702728e-18
-5.422528051907905128e-02,2.280846120138943716e-19,2.280846120138943716e-19,2.280846120138943234e-19,-2.463251941963719056e-18
-7.816348653654955903e-02,-1.928313554877970564e-19,-1.928313554877970564e-19,-1.928313554877970564e-19,2.151935767310865356e-18
-9.909905174720939902e-02,-1.363048888275661875e-21,-1.363048888275661875e-21,-1.363048888275663004e-21,-8.888529058278079116e-20
-1.106109770878586501e-01,1.950977426856579175e-19,1.950977426856579175e-19,1.950977426856579416e-19,-2.054009776628866782e-18
-1.086144753911765098e-01,-3.999065011562290001e-19,-3.999065011562290001e-19,-3.999065011562289038e-19,4.476440179942655373e-18
-9.315391030039929521e-02,5.090038135174965371e-19,5.090038135174965371e-19,5.090038135174965371e-19,-5.978661387783432992e-18
-6.775489899188082143e-02,-4.748482208050887510e-19,-4.748482208050887510e-19,-4.748482208050887510e-19,5.908272181295803099e-18
-3.784244024354637553e-02,2.848306552781780387e-19,2.848306552781780387e-19,2.848306552781780387e-19,-3.851699287429945479e-18
-9.421558421919292922e-03,2.775621743445716125e-20,2.775621743445716125e-20,2.775621743445715523e-20,-2.451529555593351296e-19
1.268331682638131758e-02,-3.483068221502640129e-19,-3.483068221502640129e-19,-3.483068221502639648e-19,5.426140809452912443e-18
2.637009815017644226e-02,5.626216853883405944e-19,5.626216853883405944e-19,5.626216853883404981e-19,-1.042888717839406227e-17
