# Pank,Pftd,Par,GRF
2.674871571748843255e-02,1.075620010300766365e-02,3.750491582049609446e-02,3.845817404371725812e-01
2.906149747696188529e-02,1.064995426108114769e-02,3.971145173804303125e-02,4.185923575776954175e-01
2.833839188220642694e-02,1.050163055985884122e-02,3.884002244206526122e-02,4.645840516841779899e-01
2.671352810861292795e-02,9.893660950840548959e-03,3.660718905945347518e-02,5.061933556388751310e-01
2.453733733206688028e-02,8.339517918876366773e-03,3.287685525094324879e-02,5.120339290399330556e-01
2.093260657332350269e-02,5.442690721308842544e-03,2.637529729463234524e-02,4.347759009962129939e-01
1.485680040360974619e-02,1.034301616809533411e-03,1.589110202041927808e-02,2.117435288752109457e-01
6.104307377233385810e-03,-4.720512880706192495e-03,1.383794496527193099e-03,-2.314758996452598860e-01
-4.173803002015386357e-03,-1.125200818485958508e-02,-1.542581118687497144e-02,-9.727043411663794936e-01
-1.380057850213705153e-02,-1.751311851385168109e-02,-3.131369701598873262e-02,-2.077257449378315801e+00
-2.064959868794791903e-02,-2.189959459572137293e-02,-4.254919328366928849e-02,-3.572899077508558729e+00
-2.366528214819630521e-02,-2.225071207546136867e-02,-4.591599422365767735e-02,-5.413332365952428837e+00
-2.305815976295064185e-02,-1.619845190619567665e-02,-3.925661166914631850e-02,-7.430050522144663105e+00
-1.977561991443706896e-02,-2.244978205515122619e-03,-2.202059811995218941e-02,-9.275291958846469953e+00
-1.505072702865186199e-02,1.817810277042447922e-02,3.127375741772615500e-03,-1.036200521710517641e+01
-1.030666623327954924e-02,3.786797366277603466e-02,2.756130742949648715e-02,-9.812711716306923293e+00
-6.692604447006320414e-03,4.140274275268360227e-02,3.471013830567728359e-02,-6.438124660005462019e+00
-3.818232802249294303e-03,5.662718315760733277e-03,1.844485513511438758e-03,1.221517773485227609e+00
9.042982077662859407e-04,-9.308780687006372456e-02,-9.218350866229745033e-02,1.475558850407449185e+01
9.260705546171881311e-03,-2.630538642840465902e-01,-2.537931587378747245e-01,3.560031656130919231e+01
1.453684867020356604e-02,-4.756363473271403852e-01,-4.610994986569368348e-01,6.456740787314612362e+01
-3.241504106343552540e-03,-6.566494205738739875e-01,-6.598909246802175943e-01,1.011635382975851911e+02
-6.355554060016729845e-02,-7.168391112074831151e-01,-7.803946518076503303e-01,1.430383829464318239e+02
-1.554901542083646504e-01,-6.165028038284688927e-01,-7.719929580368335431e-01,1.863848119807778403e+02
-2.305462688252984671e-01,-3.995889606815597461e-01,-6.301352295068582965e-01,2.273811771542137592e+02
-2.378565641604228065e-01,-1.570908063753154726e-01,-3.949473705357383069e-01,2.634734831115774796e+02
-1.625184957115493878e-01,3.440079984040868288e-02,-1.281176958711407188e-01,2.937821815655805722e+02
-3.059328575342411607e-02,1.437329202732213485e-01,1.131396345197972220e-01,3.190685633103901182e+02
1.125588575800847840e-01,1.790329912298480874e-01,2.915918488099328298e-01,3.414948131773410864e+02
2.262781115067631910e-01,1.662230511233757091e-01,3.925011626301389001e-01,3.640077452768911144e+02
2.864354191322014964e-01,1.312706126316715849e-01,4.177060317638731091e-01,3.894654833962191560e+02
2.860580443977455700e-01,9.184929004284725362e-02,3.779073344405928792e-01,4.198991369942701226e+02
2.312181094845452145e-01,5.632611190116901950e-02,2.875442213857142271e-01,4.561896443988983947e+02
1.355989144538597146e-01,2.678695860874490131e-02,1.623858730626046298e-01,4.980890547710934584e+02
1.573514348159538515e-02,3.034259958231212348e-03,1.876940343982659576e-02,5.443624792937119992e+02
-1.118448378482487099e-01,-1.480046033105725245e-02,-1.266452981793059485e-01,5.930050517004274298e+02
-2.326280308333327218e-01,-2.549189092886600810e-02,-2.581199217621987230e-01,6.415739370237979529e+02
-3.359549569507104261e-01,-2.728799014100136838e-02,-3.632429470917118430e-01,6.875893460709327201e+02
-4.154963060901027960e-01,-1.957990061438445381e-02,-4.350762067044872117e-01,7.289332809396125867e+02
-4.684191969747067419e-01,-4.648787687701498757e-03,-4.730679846624082363e-01,7.641640072477413241e+02
-4.950728955116228125e-01,1.263704592253592392e-02,-4.824358495890868626e-01,7.926357504515548271e+02
-4.993973132935146109e-01,2.753742627907199494e-02,-4.718598870144426471e-01,8.143806926361426122e+02
-4.882054160710430080e-01,3.794224864529775754e-02,-4.502631674257451810e-01,8.298364968720298975e+02
-4.685303989199878227e-01,4.435364780001618823e-02,-4.241767511199716068e-01,8.395733345396832874e+02
-4.451052095421533794e-01,4.824035897245924215e-02,-3.968648505696941720e-01,8.441401655724957891e+02
-4.201163634875484942e-01,5.089874364994562833e-02,-3.692176198376028728e-01,8.440333830286189141e+02
-3.942360764605311596e-01,5.318450682571741056e-02,-3.410515696348137560e-01,8.397047854850969770e+02
-3.672355321924096194e-01,5.546039191305282556e-02,-3.117751402793568216e-01,8.315569723009156178e+02
-3.383414107230011125e-01,5.762853860344790274e-02,-2.807128721195532028e-01,8.199488442659270504e+02
-3.067982941341992342e-01,5.927028830696853823e-02,-2.475280058272306682e-01,8.052341716459919780e+02
-2.723642675388482370e-01,5.984368607487520336e-02,-2.125205814639730129e-01,7.878105683574783598e+02
-2.353055378554978205e-01,5.895291979905328827e-02,-1.763526180564445323e-01,7.681482026982765774e+02
-1.960326654493990961e-01,5.654336681572776080e-02,-1.394892986336713492e-01,7.467871869059830487e+02
-1.551723704574912710e-01,5.286154388435755636e-02,-1.023108265731337008e-01,7.243067335223665850e+02
-1.141319795212698551e-01,4.828974187853497801e-02,-6.584223764273489099e-02,7.012808290484541658e+02
-7.515573025582625299e-02,4.321626602958088259e-02,-3.193946422624536347e-02,6.782391626593524734e+02
-4.060720673138234343e-02,3.795132896835649167e-02,-2.655877763025852635e-03,6.556443644245515543e+02
-1.233832629913698097e-02,3.267498114533653325e-02,2.033665484619955402e-02,6.338889250452911028e+02
8.450506103936160016e-03,2.744834673355815713e-02,3.589885283749431888e-02,6.133034724866815850e+02
2.138050359762638797e-02,2.226979636309064578e-02,4.365029996071703722e-02,5.941611770289061951e+02
2.749487614675452662e-02,1.708752926386680401e-02,4.458240541062132717e-02,5.766767015523810187e+02
2.954079648421543969e-02,1.177098351224043112e-02,4.131177999645586907e-02,5.610068470749456537e+02
3.062120631528009521e-02,6.175156560520647479e-03,3.679636287580074355e-02,5.472529411535793997e+02
3.201114238913767285e-02,3.559725752695545127e-04,3.236711496440723007e-02,5.354632565858398721e+02
3.284988579353514959e-02,-5.206769415328085272e-03,2.764311637820706519e-02,5.256372657676132576e+02
3.212073495246327987e-02,-9.704884095424425733e-03,2.241585085703885413e-02,5.177320455021463204e+02
3.038604386073219532e-02,-1.252526622871329674e-02,1.786077763201889337e-02,5.116678313079626719e+02
2.945707964240498050e-02,-1.364051650895781002e-02,1.581656313344717221e-02,5.073297372444710049e+02
3.086996954841298574e-02,-1.345725410655483796e-02,1.741271544185814951e-02,5.045636812662561397e+02
3.525410968479225637e-02,-1.271333012369961317e-02,2.254077956109264494e-02,5.031706944166281801e+02
