# InvDyn,Takahashi,Zelik,Frigo,GRF
-1.900459587153086256e-04,-1.628489589599323863e-18,-1.628489589599323863e-18,-1.628489589599323863e-18,3.878009442260280683e-17
2.402499691464272773e-05,-1.162492342434067158e-18,-1.162492342434067158e-18,-1.162492342434067158e-18,2.756679416302577299e-17
3.114254431372619593e-04,-7.533666697909119607e-19,-7.533666697909119607e-19,-7.533666697909120570e-19,1.766216422822533360e-17
5.713132843474333453e-04,-4.255843614348827790e-19,-4.255843614348827790e-19,-4.255843614348828753e-19,9.808493207124285504e-18
7.297725969005065122e-04,-1.837140798461737113e-19,-1.837140798461737113e-19,-1.837140798461737113e-19,4.148344292963793184e-18
7.330815056863266991e-04,-2.073471919579578354e-20,-2.073471919579578354e-20,-2.073471919579578354e-20,4.578778820591200793e-19
5.444256914909604856e-04,7.598164661059783316e-20,7.598164661059783316e-20,7.598164661059780909e-20,-1.644767445731655609e-18
1.679357370422859786e-04,1.218670918508588598e-19,1.218670918508588598e-19,1.218670918508588839e-19,-2.586172059491638128e-18
-3.409355405096539627e-04,1.326031385237265122e-19,1.326031385237265122e-19,1.326031385237265122e-19,-2.762676449202868421e-18
-9.149442447535596507e-04,1.213778312754987722e-19,1.213778312754987722e-19,1.213778312754987722e-19,-2.484932230460409008e-18
-1.500297995685418492e-03,9.950992484361603028e-20,9.950992484361603028e-20,9.950992484361601824e-20,-2.002381894313059486e-18
-2.049103311637085964e-03,7.396678771803747201e-20,7.396678771803747201e-20,7.396678771803747201e-20,-1.462812208940021976e-18
-2.529638469065807749e-03,4.985067562956894646e-20,4.985067562956894646e-20,4.985067562956895850e-20,-9.688164876368648442e-19
-2.921413492416928721e-03,2.975941012835743549e-20,2.975941012835743549e-20,2.975941012835743549e-20,-5.683317932949629235e-19
-3.199311803103645907e-03,1.404102449163113286e-20,1.404102449163113286e-20,1.404102449163113286e-20,-2.634133633471736306e-19
-3.363228018676562691e-03,3.766370509563434980e-21,3.766370509563434980e-21,3.766370509563435732e-21,-6.931237356561821270e-20
-3.448229458243795911e-03,-3.191163119706561262e-21,-3.191163119706561262e-21,-3.191163119706562014e-21,5.780617444212668432e-20
-3.488932786259871591e-03,-6.359957405755258323e-21,-6.359957405755258323e-21,-6.359957405755256818e-21,1.129371799535402885e-19
-3.515180492533708824e-03,-7.433916483608832625e-21,-7.433916483608832625e-21,-7.433916483608832625e-21,1.292628775345810104e-19
-3.553007951152608885e-03,-7.566297805857416322e-21,-7.566297805857416322e-21,-7.566297805857417826e-21,1.287197003571185544e-19
-3.600530300728765464e-03,-5.690510370414617310e-21,-5.690510370414617310e-21,-5.690510370414616557e-21,9.454186467156129206e-20
-3.658081233122831896e-03,-5.271992948696729828e-21,-5.271992948696729828e-21,-5.271992948696731333e-21,8.537081838460470400e-20
-3.781978676146838681e-03,-2.946760825108633944e-21,-2.946760825108633944e-21,-2.946760825108633944e-21,4.643623340637702362e-20
-4.058174540894405984e-03,-2.178240224372666160e-21,-2.178240224372666160e-21,-2.178240224372665784e-21,3.333927822557594518e-20
-4.529716752996182372e-03,-1.484229755549237628e-21,-1.484229755549237628e-21,-1.484229755549238004e-21,2.205331675301707863e-20
-5.149495193989132510e-03,5.003871210179701573e-22,5.003871210179701573e-22,5.003871210179703453e-22,-7.212550452940879165e-21
-5.784575795556501886e-03,-1.175820486776008345e-21,-1.175820486776008345e-21,-1.175820486776007969e-21,1.642315344515338934e-20
-6.286423413580073151e-03,1.687506269143320702e-21,1.687506269143320702e-21,1.687506269143321078e-21,-2.285037239376765609e-20
-6.586348034847513445e-03,-4.767563045718875407e-22,-4.767563045718875407e-22,-4.767563045718874466e-22,6.230544492726759589e-21
-6.719290334832744155e-03,5.355110717444043410e-22,5.355110717444043410e-22,5.355110717444043410e-22,-6.771543813188914801e-21
-6.757967425823374098e-03,1.610426564891601893e-21,1.610426564891601893e-21,1.610426564891601705e-21,-1.995967453703997457e-20
-6.759728579216626489e-03,-2.164549138562027896e-21,-2.164549138562027896e-21,-2.164549138562027144e-21,2.595020268185976177e-20
-6.772398060497422830e-03,3.660604017987590460e-21,3.660604017987590460e-21,3.660604017987590460e-21,-4.241998042194337928e-20
-6.866360418318655061e-03,-3.291936490192267803e-21,-3.291936490192267803e-21,-3.291936490192267051e-21,3.683296968410924978e-20
-7.193510906987298816e-03,2.330927085487483531e-21,2.330927085487483531e-21,2.330927085487484660e-21,-2.511545231755834545e-20
-8.057407171736597970e-03,2.947759304489949019e-22,2.947759304489949019e-22,2.947759304489948549e-22,-3.465266878612649911e-21
-9.920275414980484971e-03,-3.618472587769886257e-21,-3.618472587769886257e-21,-3.618472587769886257e-21,3.758761019938203764e-20
-1.328099946873034960e-02,6.912482439219165567e-21,6.912482439219165567e-21,6.912482439219167072e-21,-6.971602573585411192e-20
-1.843436434197651477e-02,-8.981526729344525359e-21,-8.981526729344525359e-21,-8.981526729344523854e-21,8.850270112550810750e-20
-2.518761803141122274e-02,8.456302077388623066e-21,8.456302077388623066e-21,8.456302077388623066e-21,-8.168457524511454509e-20
-3.267559066118499306e-02,-4.860630639537814473e-21,-4.860630639537814473e-21,-4.860630639537813721e-21,4.601072091770024963e-20
-3.949159043403886044e-02,-1.780068579601950015e-21,-1.780068579601950015e-21,-1.780068579601949639e-21,1.750298536690598437e-20
-4.418785947358725569e-02,9.817684454499256643e-21,9.817684454499256643e-21,9.817684454499258148e-21,-9.368308675400694836e-20
-4.593874342939056193e-02,-1.688262997019080068e-20,-1.688262997019080068e-20,-1.688262997019080068e-20,1.619201741882496999e-19
-4.502994980570595995e-02,1.998069534888067646e-20,1.998069534888067646e-20,1.998069534888067646e-20,-1.952955248438284800e-19
-4.254444616696924364e-02,-1.705090063518256659e-20,-1.705090063518256659e-20,-1.705090063518256960e-20,1.723635642533454515e-19
-3.904086687840600811e-02,7.803575562185713427e-21,7.803575562185713427e-21,7.803575562185713427e-21,-8.323777951517788311e-20
-3.346445551728441381e-02,5.611410342396724764e-21,5.611410342396724764e-21,5.611410342396724764e-21,-6.178871817695264110e-20
-2.368319312326559387e-02,-1.913951538820282714e-20,-1.913951538820282714e-20,-1.913951538820283015e-20,2.303050148544219686e-19
-8.508522671199935175e-03,2.815403578092664113e-20,2.815403578092664113e-20,2.815403578092664113e-20,-3.719259714549640865e-19
1.055110552082572442e-02,-2.913654136851087476e-20,-2.913654136851087476e-20,-2.913654136851087476e-20,4.297869359149638344e-19
2.983751496375462373e-02,2.119375699749516916e-20,2.119375699749516916e-20,2.119375699749516916e-20,-3.584000264779205665e-19
4.542348394873538947e-02,-6.836150309863563408e-21,-6.836150309863563408e-21,-6.836150309863560399e-21,1.423006950570034524e-19
5.430373857659696185e-02,-8.396235951988375876e-21,-8.396235951988375876e-21,-8.396235951988377380e-21,1.890200361427745745e-19
5.539166352623781098e-02,1.800733571566957884e-20,1.800733571566957884e-20,1.800733571566957884e-20,-5.576883500576324063e-19
5.010663317736912398e-02,-1.784758749448004914e-20,-1.784758749448004914e-20,-1.784758749448004914e-20,8.489672156868972451e-19
4.155275954839041108e-02,9.016961331110410390e-21,9.016961331110410390e-21,9.016961331110411894e-21,-9.393408034262417331e-19
3.286046377109541616e-02,1.585613065399308632e-21,1.585613065399308632e-21,1.585613065399309572e-21,7.359959279235191686e-19
2.586268282456094525e-02,-3.896534581954902445e-21,-3.896534581954902445e-21,-3.896534581954901693e-21,-2.180946249231674744e-19
2.082236621747618824e-02,-1.022012353093276734e-20,-1.022012353093276734e-20,-1.022012353093276734e-20,-5.339427636697024648e-19
1.718303140964570416e-02,4.145640084354233372e-20,4.145640084354233372e-20,4.145640084354232770e-20,1.334791125339511323e-18
1.435399707033043100e-02,-7.964224383987558933e-20,-7.964224383987558933e-20,-7.964224383987560137e-20,-1.925338094983980593e-18
1.194432269324328423e-02,1.044789744669769602e-19,1.044789744669769602e-19,1.044789744669769723e-19,2.038678824868712127e-18
9.782509532099350688e-03,-9.136427105086163750e-20,-9.136427105086163750e-20,-9.136427105086163750e-20,-1.489060987599139510e-18
7.897638803449173739e-03,2.176394872570109779e-20,2.176394872570109779e-20,2.176394872570109478e-20,2.604759653898390910e-19
6.368762011927502423e-03,1.046012556765922509e-19,1.046012556765922509e-19,1.046012556765922509e-19,1.435602969305143660e-18
5.209536723948700321e-03,-2.607769494209392010e-19,-2.607769494209392010e-19,-2.607769494209391528e-19,-3.162550630747802391e-18
4.372814439582738306e-03,3.924005270262458396e-19,3.924005270262458396e-19,3.924005270262458396e-19,4.338723046031617140e-18
3.778994344732503324e-03,-4.299600765532330089e-19,-4.299600765532330089e-19,-4.299600765532331052e-19,-4.391899784206383420e-18
3.374446677912688788e-03,3.127636082350265211e-19,3.127636082350265211e-19,3.127636082350264730e-19,2.958063296882435304e-18
3.175669894107095541e-03,-1.832867940396120878e-20,-1.832867940396120878e-20,-1.832867940396120878e-20,-7.011947124495056547e-20
3.208085958611804796e-03,-4.133027209363687514e-19,-4.133027209363687514e-19,-4.133027209363687514e-19,-3.731138690826575221e-18
3.447294037877471178e-03,8.715736704053184011e-19,8.715736704053184011e-19,8.715736704053185937e-19,7.425750192494157975e-18
3.827694531404047043e-03,-1.191946152629017935e-18,-1.191946152629017935e-18,-1.191946152629017743e-18,-9.716174469799756093e-18
4.236100563509636978e-03,1.199009766619166298e-18,1.199009766619166298e-18,1.199009766619166683e-18,9.385973161231371612e-18
4.531840170889307566e-03,-7.688266033047211976e-19,-7.688266033047211976e-19,-7.688266033047212939e-19,-5.741183529809377557e-18
4.659708435252681372e-03,-1.058842500583952172e-19,-1.058842500583952172e-19,-1.058842500583952412e-19,-9.912412244048317483e-19
4.711674203572619596e-03,1.270122398520121064e-18,1.270122398520121064e-18,1.270122398520121256e-18,9.457533593791474574e-18
4.831835234562583369e-03,-2.404959424631996504e-18,-2.404959424631996504e-18,-2.404959424631996504e-18,-1.729352868722813057e-17
5.088917838685998347e-03,3.087012338120686572e-18,3.087012338120686572e-18,3.087012338120686572e-18,2.162279874547007301e-17
5.466713129424295714e-03,-2.908567696766455112e-18,-2.908567696766455112e-18,-2.908567696766455497e-18,-1.988353539758061497e-17
5.938817923886510579e-03,1.634255445318867405e-18,1.634255445318867405e-18,1.634255445318867405e-18,1.080236424407091501e-17
6.499927398738706945e-03,6.527834727555367104e-19,6.527834727555367104e-19,6.527834727555367104e-19,4.773007452469259365e-18
7.132845029000840428e-03,-3.474697316728787827e-18,-3.474697316728787827e-18,-3.474697316728788598e-18,-2.351080458193228137e-17
7.780910250231825101e-03,6.004709340110913116e-18,6.004709340110913116e-18,6.004709340110913886e-18,3.997073917563083993e-17
8.371566592869290543e-03,-7.256257083284136300e-18,-7.256257083284136300e-18,-7.256257083284134759e-18,-4.781697831963516576e-17
8.888752022419642296e-03,6.388640081763980448e-18,6.388640081763980448e-18,6.388640081763978907e-18,4.171118464231799168e-17
9.415587830006698356e-03,-3.050189451117312524e-18,-3.050189451117312524e-18,-3.050189451117312139e-18,-1.944704816211744828e-17
1.006396261027818310e-02,-2.353052222408490932e-18,-2.353052222408490932e-18,-2.353052222408490547e-18,-1.632999936483588342e-17
1.084052334139639327e-02,8.574525300345792164e-18,8.574525300345792164e-18,8.574525300345793705e-18,5.753429767273843571e-17
1.158572129238603227e-02,-1.371301243058774088e-17,-1.371301243058774088e-17,-1.371301243058774088e-17,-9.173249406408492828e-17
1.203281970814524919e-02,1.568425855420843066e-17,1.568425855420843066e-17,1.568425855420843066e-17,1.050607722994473342e-16
1.192939927340661531e-02,-1.289673490764663630e-17,-1.289673490764663630e-17,-1.289673490764663630e-17,-8.653006666488648936e-17
1.117828837978684410e-02,4.961195617768702606e-18,4.961195617768702606e-18,4.961195617768702606e-18,3.267297741392571298e-17
9.911897467667527342e-03,6.805420348583889302e-18,6.805420348583889302e-18,6.805420348583887762e-18,4.895309867917386982e-17
8.397219001033401700e-03,-1.935372659618808034e-17,-1.935372659618808034e-17,-1.935372659618808342e-17,-1.389579529187567217e-16
6.869005739481203777e-03,2.854067449567195350e-17,2.854067449567195350e-17,2.854067449567195966e-17,2.091122430751012447e-16
5.472214787370475661e-03,-3.039499382980063917e-17,-3.039499382980063917e-17,-3.039499382980064533e-17,-2.292887239090677445e-16
4.301743528856869121e-03,2.268112132436152126e-17,2.268112132436152126e-17,2.268112132436151817e-17,1.771906652395581287e-16
3.365215395073878520e-03,-6.183925916983827731e-18,-6.183925916983827731e-18,-6.183925916983827731e-18,-4.839554134335929361e-17
2.457632226603655070e-03,-1.491719325118657630e-17,-1.491719325118657630e-17,-1.491719325118657630e-17,-1.366269250553320597e-16
1.273565843687283821e-03,3.396952135463669236e-17,3.396952135463669236e-17,3.396952135463669236e-17,3.318564127269143481e-16
-2.756177534196989441e-04,-4.403350197209982453e-17,-4.403350197209982453e-17,-4.403350197209981837e-17,-4.736072142773449631e-16
-2.168324414792059760e-03,4.079514153820036443e-17,4.079514153820036443e-17,4.079514153820036443e-17,4.968884656541778491e-16
-4.640758117296561389e-03,-2.507517152213729639e-17,-2.507517152213729639e-17,-2.507517152213729947e-17,-3.572494017759595450e-16
-7.841904798731615805e-03,3.476954548784763771e-18,3.476954548784763771e-18,3.476954548784763771e-18,5.232011040544177750e-17
