# Pank,Pftd,Par,GRF
-1.900459587153081919e-04,-4.363653731195806452e-19,-1.900459587153086256e-04,3.878009442260280683e-17
2.402499691464303605e-05,-3.074489939375225787e-19,2.402499691464272773e-05,2.756679416302577299e-17
3.114254431372621220e-04,-1.978040306684110701e-19,3.114254431372619593e-04,1.766216422822533360e-17
5.713132843474334538e-04,-1.126499718098091133e-19,5.713132843474333453e-04,9.808493207124285504e-18
7.297725969005066206e-04,-5.002748441424746956e-20,7.297725969005065122e-04,4.148344292963793184e-18
7.330815056863266991e-04,-5.969665896099258338e-21,7.330815056863266991e-04,4.578778820591200793e-19
5.444256914909604856e-04,2.299594714593169855e-20,5.444256914909604856e-04,-1.644767445731655609e-18
1.679357370422859244e-04,3.973320158701811527e-20,1.679357370422859786e-04,-2.586172059491638128e-18
-3.409355405096540169e-04,4.675097980392053801e-20,-3.409355405096539627e-04,-2.762676449202868421e-18
-9.149442447535596507e-04,4.619067236547056931e-20,-9.149442447535596507e-04,-2.484932230460409008e-18
-1.500297995685418492e-03,4.065864530253376730e-20,-1.500297995685418492e-03,-2.002381894313059486e-18
-2.049103311637085964e-03,3.231376332378327787e-20,-2.049103311637085964e-03,-1.462812208940021976e-18
-2.529638469065807749e-03,2.328861431681389840e-20,-2.529638469065807749e-03,-9.688164876368648442e-19
-2.921413492416928721e-03,1.491838444596709179e-20,-2.921413492416928721e-03,-5.683317932949629235e-19
-3.199311803103645907e-03,7.580418772728647640e-21,-3.199311803103645907e-03,-2.634133633471736306e-19
-3.363228018676562691e-03,2.191982484524225022e-21,-3.363228018676562691e-03,-6.931237356561821270e-20
-3.448229458243795911e-03,-2.001405296615395702e-21,-3.448229458243795911e-03,5.780617444212668432e-20
-3.488932786259871591e-03,-4.277558478336660712e-21,-3.488932786259871591e-03,1.129371799535402885e-19
-3.515180492533708824e-03,-5.331465004398818347e-21,-3.515180492533708824e-03,1.292628775345810104e-19
-3.553007951152608885e-03,-5.754297527667793766e-21,-3.553007951152608885e-03,1.287197003571185544e-19
-3.600530300728765464e-03,-4.566474517864801416e-21,-3.600530300728765464e-03,9.454186467156129206e-20
-3.658081233122831896e-03,-4.449823330168009316e-21,-3.658081233122831896e-03,8.537081838460470400e-20
-3.781978676146838681e-03,-2.615772134257852380e-21,-3.781978676146838681e-03,4.643623340637702362e-20
-4.058174540894405984e-03,-2.032250074575858718e-21,-4.058174540894405984e-03,3.333927822557594518e-20
-4.529716752996182372e-03,-1.464311924407192897e-21,-4.529716752996182372e-03,2.205331675301707863e-20
-5.149495193989132510e-03,5.236954983133101186e-22,-5.149495193989132510e-03,-7.212550452940879165e-21
-5.784575795556501886e-03,-1.307348535965313372e-21,-5.784575795556501886e-03,1.642315344515338934e-20
-6.286423413580073151e-03,2.003763993575532793e-21,-6.286423413580073151e-03,-2.285037239376765609e-20
-6.586348034847513445e-03,-6.029998274224090045e-22,-6.586348034847513445e-03,6.230544492726759589e-21
-6.719290334832744155e-03,7.246487407147267284e-22,-6.719290334832744155e-03,-6.771543813188914801e-21
-6.757967425823374098e-03,2.351341796017894960e-21,-6.757967425823374098e-03,-1.995967453703997457e-20
-6.759728579216626489e-03,-3.367480392077580858e-21,-6.759728579216626489e-03,2.595020268185976177e-20
-6.772398060497422830e-03,6.049212615205535150e-21,-6.772398060497422830e-03,-4.241998042194337928e-20
-6.866360418318655061e-03,-5.755263271579044275e-21,-6.866360418318655061e-03,3.683296968410924978e-20
-7.193510906987298816e-03,4.286725574463703688e-21,-7.193510906987298816e-03,-2.511545231755834545e-20
